Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
22.08.,Caniato C. A.,2,,,,,,"['2', '3', '6', '5']","['3', '4']","['2', '0', '4', '0']",[],[],1.05
26.11.2024,Kuzmanov D.,2,,,,,,5,0,72%,74% (28/38),60% (9/15),67% (2/3),32% (11/34),70% (19/27),44% (4/9),70% (37/53),49% (30/61),59% (67/114),8,0,89% (8/9),50% (4/8),71% (12/17),"['5', '3']","['1', '0', '3', '0', '5', '2']",[],[],[],1.02
26.11.2024,Genier T.,0,,,,,,2,5,56%,68% (23/34),30% (8/27),56% (5/9),26% (10/38),40% (6/15),33% (1/3),51% (31/61),30% (16/53),41% (47/114),2,0,50% (4/8),11% (1/9),29% (5/17),[],"['2', '4']",[],[],[],11.10
25.11.2024,Poling K.,2,,,,,,2,1,57%,69% (20/29),73% (16/22),67% (2/3),38% (14/37),58% (22/38),29% (4/14),71% (36/51),48% (36/75),57% (72/126),5,0,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '5', '4']","['2', '1', '4', '1']",[],[],[],1.15
25.11.2024,Genier T.,0,,,,,,5,2,49%,62% (23/37),42% (16/38),71% (10/14),31% (9/29),27% (6/22),33% (1/3),52% (39/75),29% (15/51),43% (54/126),5,0,56% (5/9),11% (1/9),33% (6/18),"['3', '3']",[],[],[],[],5.08
24.11.2024,Genier T.,2,,,,,,2,8,52%,69% (38/55),45% (23/51),55% (6/11),44% (28/64),50% (20/40),54% (7/13),58% (61/106),46% (48/104),52% (109/210),7,0,69% (11/16),41% (7/17),55% (18/33),"['3', '4']","['2', '3', '4', '3', '6', '5']","['3', '2', '4', '3', '6', '3']",[],[],1.19
24.11.2024,Whiting T.,1,,,,,,5,3,62%,56% (36/64),50% (20/40),46% (6/13),31% (17/55),55% (28/51),45% (5/11),54% (56/104),42% (45/106),48% (101/210),3,0,59% (10/17),31% (5/16),45% (15/33),"['3', '1', '7', '5']","['2', '0', '4', '4']","['3', '3']",[],[],4.36
17.11.2024,Baadi T.,2,,,,,,8,3,53%,67% (37/55),50% (24/48),60% (9/15),39% (19/49),53% (33/62),41% (7/17),59% (61/103),47% (52/111),53% (113/214),6,0,63% (10/16),44% (7/16),53% (17/32),"['1', '0', '5', '2']","['1', '0', '4', '5']","['1', '2', '4', '3', '6', '5']",[],[],-
17.11.2024,Genier T.,1,,,,,,4,11,44%,61% (30/49),47% (29/62),59% (10/17),33% (18/55),50% (24/48),40% (6/15),53% (59/111),41% (42/103),47% (101/214),4,4,56% (9/16),38% (6/16),47% (15/32),[],"['2', '2', '5', '3', '7', '5']","['2', '0', '5', '5', '6', '6']",[],[],-
13.11.2024,Meneo T.,2,,,,,,"['5', '4']","['3', '2']",[],[],[],5.26
13.11.2024,Genier T.,0,,,,,,[],[],[],[],[],1.13
02.10.2024,Wallart E.,2,,,,,,"['1', '0']","['2', '1', '4', '1']",[],[],[],1.30
02.10.2024,Genier T.,0,,,,,,[],"['3', '5', '5', '5']",[],[],[],3.30
17.09.2024,Weber A.,2,,,,,,"['1', '0', '5', '4']","['1', '0', '3', '0']",[],[],[],1.20
17.09.2024,Genier T.,0,,,,,,"['1', '1']",[],[],[],[],4.17
11.09.2024,Clarke J.,2,,,,,,"['1', '0']","['2', '1', '4', '1']",[],[],[],1.08
11.09.2024,Genier T.,0,,,,,,[],[],[],[],[],7.06
10.09.2024,Genier T.,2,,,,,,"['5', '3', '7', '5']","['4', '2']",[],[],[],1.28
10.09.2024,Ganta S. K. R.,0,,,,,,"['4', '5']",[],[],[],[],3.43
10.07.2024,Weber A.,2,,,,,,"['6', '4']","['2', '0', '4', '0']",[],[],[],1.40
10.07.2024,Genier T.,0,,,,,,[],[],[],[],[],2.79
01.07.2024,Rehberg M. H.,2,,,,,,2,0,74%,79% (27/34),83% (10/12),100% (1/1),43% (12/28),57% (12/21),50% (3/6),80% (37/46),49% (24/49),64% (61/95),9,0,100% (9/9),38% (3/8),71% (12/17),"['5', '3']","['1', '0', '5', '2']",[],[],[],1.07
01.07.2024,Genier T.,0,,,,,,2,1,57%,57% (16/28),43% (9/21),50% (3/6),21% (7/34),17% (2/12),0% (0/1),51% (25/49),20% (9/46),36% (34/95),1,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],7.65
23.11.2023,Matsuoka H.,2,,,,,,[],[],[],[],[],1.34
23.11.2023,Genier T.,0,,,,,,[],[],[],[],[],3.04
