Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.08.,Stebe C.,2,,,,,,2,2,62%,59% (33/56),53% (18/34),14% (1/7),46% (30/65),53% (18/34),70% (7/10),15,33,60% (3/5),57% (51/90),48% (48/99),52% (99/189),7,2,60% (9/15),47% (7/15),53% (16/30),"['1', '1', '4', '2', '6', '2']","['1', '1']","['2', '2', '5', '3', '6', '6']",[],[],1.41
20.08.,Gadamauri B.,1,,,,,,1,3,66%,54% (35/65),47% (16/34),30% (3/10),41% (23/56),47% (16/34),86% (6/7),31,59,57% (4/7),52% (51/99),43% (39/90),48% (90/189),3,0,53% (8/15),40% (6/15),47% (14/30),"['1', '0']","['1', '0', '3', '2']","['2', '1', '4', '5', '6', '5']",[],[],2.77
19.08.,Gadamauri B.,2,,,,,,8,5,55%,77% (51/66),59% (32/54),60% (3/5),22% (16/73),51% (32/63),33% (2/6),39,59,71% (5/7),69% (82/119),35% (48/136),51% (130/255),8,0,89% (16/18),11% (2/18),50% (18/36),[],[],"['2', '2', '6', '6']",[],[],1.64
19.08.,Berrettini J.,1,,,,,,3,12,54%,78% (57/73),49% (31/63),67% (4/6),23% (15/66),41% (22/54),40% (2/5),31,69,56% (9/16),65% (88/136),31% (37/119),49% (125/255),2,0,89% (16/18),11% (2/18),50% (18/36),[],[],"['1', '0', '6', '5']",[],[],20.5
18.08.,Gadamauri B.,2,,,,,,7,6,58%,71% (30/42),52% (16/31),60% (3/5),35% (18/52),56% (18/32),36% (4/11),27,42,80% (8/10),63% (46/73),43% (36/84),52% (82/157),9,0,83% (10/12),33% (4/12),58% (14/24),"['3', '4', '6', '5']","['4', '5', '6', '5']",[],[],[],1.69
18.08.,Kasnikowski M.,0,,,,,,1,3,62%,65% (34/52),44% (14/32),64% (7/11),29% (12/42),48% (15/31),40% (2/5),14,34,46% (6/13),57% (48/84),37% (27/73),48% (75/157),1,0,67% (8/12),17% (2/12),42% (10/24),"['4', '2']","['4', '2']",[],[],[],20.0
17.08.,Gadamauri B.,2,,,,,,1,2,50%,96% (22/23),52% (12/23),100% (1/1),44% (8/18),63% (15/24),80% (4/5),17,20,67% (2/3),74% (34/46),55% (23/42),65% (57/88),7,0,100% (8/8),57% (4/7),80% (12/15),"['3', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.82
17.08.,Bellifemine A.,0,,,,,,1,2,43%,56% (10/18),38% (9/24),20% (1/5),4% (1/23),48% (11/23),0% (0/1),6,28,50% (1/2),45% (19/42),26% (12/46),35% (31/88),3,1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],19.0
14.08.,Loge J.,2,,,,,,"['1', '2']","['3', '3', '5', '3']","['4', '3', '5', '4']",[],[],21.0
08.07.,Gadamauri B.,1,,,,,,"['3', '3', '4', '4', '6', '4']","['5', '5']","['1', '0', '4', '5']",[],[],2.58
30.06.,Mayot H.,2,,,,,,5,0,62%,72% (21/29),78% (14/18),100% (2/2),43% (13/30),48% (13/27),40% (4/10),74% (35/47),46% (26/57),59% (61/104),5,0,100% (8/8),50% (4/8),75% (12/16),"['3', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.21
30.06.,Gadamauri B.,0,,,,,,0,5,53%,57% (17/30),52% (14/27),60% (6/10),28% (8/29),22% (4/18),0% (0/2),54% (31/57),26% (12/47),41% (43/104),5,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],4.17
29.06.,Gadamauri B.,2,,,,,,2,2,69%,79% (30/38),29% (5/17),71% (5/7),41% (12/29),78% (14/18),63% (5/8),64% (35/55),55% (26/47),60% (61/102),7,0,78% (7/9),56% (5/9),67% (12/18),"['4', '2', '6', '2']","['2', '0', '3', '1', '6', '4']",[],[],[],1.19
29.06.,Braynin A.,0,,,,,,1,4,62%,59% (17/29),22% (4/18),38% (3/8),21% (8/38),71% (12/17),29% (2/7),45% (21/47),36% (20/55),40% (41/102),3,0,44% (4/9),22% (2/9),33% (6/18),[],"['1', '2', '3', '4']",[],[],[],4.37
26.06.,Moeller M.,2,,,,,,[],"['2', '0', '3', '1']","['5', '4']",[],[],1.88
26.06.,Gadamauri B.,1,,,,,,"['5', '4']","['1', '2']",[],[],[],1.82
24.06.,Gadamauri B.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '6', '3']",[],[],[],1.17
24.06.,Branger L.,0,,,,,,[],[],[],[],[],4.57
18.06.,Feldbausch K.,2,,,,,,1,4,75%,69% (29/42),64% (9/14),75% (3/4),56% (28/50),57% (8/14),50% (5/10),68% (38/56),56% (36/64),62% (74/120),6,0,88% (7/8),63% (5/8),75% (12/16),"['2', '1', '4', '1', '6', '3']","['3', '1', '5', '1']",[],[],[],1.30
18.06.,Gadamauri B.,0,,,,,,1,1,78%,44% (22/50),43% (6/14),50% (5/10),31% (13/42),36% (5/14),25% (1/4),44% (28/64),32% (18/56),38% (46/120),4,2,38% (3/8),13% (1/8),25% (4/16),"['2', '4']",[],[],[],[],3.37
17.06.,Gadamauri B.,2,,,,,,3,2,75%,68% (45/66),64% (14/22),82% (9/11),27% (10/37),48% (21/44),33% (3/9),67% (59/88),38% (31/81),53% (90/169),6,0,83% (10/12),25% (3/12),54% (13/24),"['2', '3', '6', '5']","['1', '0']",[],[],[],1.82
17.06.,Paire B.,0,,,,,,2,7,46%,73% (27/37),52% (23/44),67% (6/9),32% (21/66),36% (8/22),18% (2/11),62% (50/81),33% (29/88),47% (79/169),4,0,75% (9/12),17% (2/12),46% (11/24),"['3', '1']","['1', '1']",[],[],[],1.91
16.06.,Gadamauri B.,2,,,,,,1,0,69%,61% (43/70),61% (19/31),62% (8/13),42% (25/60),47% (18/38),50% (5/10),61% (62/101),44% (43/98),53% (105/199),7,0,69% (11/16),33% (5/15),52% (16/31),"['2', '1', '4', '3']","['2', '4']","['2', '0', '5', '3']",[],[],2.63
16.06.,Agamenone F.,1,,,,,,1,4,61%,58% (35/60),53% (20/38),50% (5/10),39% (27/70),39% (12/31),38% (5/13),56% (55/98),39% (39/101),47% (94/199),3,0,67% (10/15),31% (5/16),48% (15/31),"['3', '3', '5', '5']","['1', '0', '3', '0']","['2', '3']",[],[],1.45
15.06.,Gadamauri B.,2,,,,,,4,7,60%,63% (51/81),56% (31/55),82% (14/17),37% (32/87),44% (17/39),31% (4/13),60% (82/136),39% (49/126),50% (131/262),6,3,82% (14/17),24% (4/17),53% (18/34),"['1', '1', '4', '4']","['1', '0']","['3', '4']",[],[],1.32
15.06.,Zhukov M.,1,,,,,,0,7,69%,63% (55/87),56% (22/39),69% (9/13),37% (30/81),44% (24/55),18% (3/17),61% (77/126),40% (54/136),50% (131/262),4,2,76% (13/17),18% (3/17),47% (16/34),"['1', '0', '3', '2']",[],"['2', '0']",[],[],3.21
12.06.,Deschamps T.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['2', '0', '4', '2']",[],[],[],2.73
12.06.,Gadamauri B.,0,,,,,,"['1', '0']","['1', '2']",[],[],[],1.41
11.06.,Gadamauri B.,2,,,,,,"['1', '0', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.17
11.06.,Sakellaridis D.,0,,,,,,"['1', '1']",[],[],[],[],4.62
10.06.,Gadamauri B.,2,,,,,,"['1', '0']","['1', '0', '3', '0']","['1', '0', '3', '0', '5', '0']",[],[],1.69
10.06.,Oradini G.,1,,,,,,"['2', '2', '6', '4']",[],[],[],[],2.08
26.05.,Beauge M.,2,,,,,,[],"['1', '0', '6', '5']","['6', '5']",[],[],2.62
26.05.,Gadamauri B.,1,,,,,,"['1', '0', '6', '3']","['5', '5']",[],[],[],1.44
21.05.,Damas M.,2,,,,,,"['2', '2', '4', '4', '7', '5']","['2', '0', '5', '1']",[],[],[],1.47
21.05.,Gadamauri B.,0,,,,,,"['2', '1', '4', '3']",[],[],[],[],2.53
12.05.,Gakhov I.,2,,,,,,2,8,55%,73% (47/64),50% (26/52),67% (6/9),27% (18/66),47% (21/45),30% (3/10),63% (73/116),35% (39/111),49% (112/227),6,0,82% (14/17),18% (3/17),50% (17/34),"['2', '2']","['3', '3']","['6', '5']",[],[],1.45
12.05.,Gadamauri B.,1,,,,,,4,2,59%,73% (48/66),53% (24/45),70% (7/10),27% (17/64),50% (26/52),33% (3/9),65% (72/111),37% (43/116),51% (115/227),4,1,82% (14/17),18% (3/17),50% (17/34),"['2', '1', '3', '2']","['2', '1']",[],[],[],2.63
11.05.,Gadamauri B.,2,,,,,,3,0,75%,70% (28/40),62% (8/13),67% (2/3),43% (20/47),58% (11/19),40% (4/10),68% (36/53),47% (31/66),56% (67/119),7,0,89% (8/9),40% (4/10),63% (12/19),"['4', '3', '6', '3']","['4', '4', '6', '4']",[],[],[],1.75
11.05.,Wiskandt M.,0,,,,,,1,4,71%,57% (27/47),42% (8/19),60% (6/10),30% (12/40),38% (5/13),33% (1/3),53% (35/66),32% (17/53),44% (52/119),3,1,60% (6/10),11% (1/9),37% (7/19),[],"['2', '1']",[],[],[],1.99
26.04.,Pieczkowski O.,2,,,,,,"['3', '1', '6', '4']","['1', '1', '2', '4', '5', '5', '7', '5']",[],[],[],2.85
26.04.,Gadamauri B.,0,,,,,,"['3', '4']","['1', '0', '2', '1', '4', '1']",[],[],[],1.38
25.04.,Gadamauri B.,2,,,,,,"['4', '4', '6', '4']","['1', '3', '3', '3', '5', '3']",[],[],[],1.40
25.04.,Clark E.,0,,,,,,"['1', '0']","['1', '0', '3', '0']",[],[],[],2.77
24.04.,Gadamauri B.,2,,,,,,"['3', '2', '5', '2']","['5', '4']",[],[],[],1.61
24.04.,Gobat A.,0,,,,,,[],[],[],[],[],2.20
23.04.,Gadamauri B.,2,,,,,,"['2', '2', '4', '4', '6', '4']","['2', '0', '5', '1']",[],[],[],1.30
23.04.,Nefve A.,0,,,,,,"['1', '0', '4', '3']",[],[],[],[],3.30
19.04.,Added D.,2,,,,,,"['1', '1']","['1', '0', '4', '1']","['3', '2']",[],[],1.50
19.04.,Gadamauri B.,1,,,,,,"['1', '0']",[],"['5', '5']",[],[],2.44
18.04.,Gadamauri B.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.67
18.04.,Beauge M.,0,,,,,,"['3', '5']",[],[],[],[],2.10
17.04.,Gadamauri B.,2,,,,,,"['4', '3']","['3', '2', '5', '2']",[],[],[],1.72
17.04.,De Schepper K.,0,,,,,,[],[],[],[],[],2.00
16.04.,Gadamauri B.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0']",[],[],[],1.53
16.04.,Nefve A.,0,,,,,,[],[],[],[],[],2.37
12.04.,Strombachs R.,2,,,,,,"['1', '0', '3', '2', '6', '3']","['5', '3']",[],[],[],1.16
12.04.,Gadamauri B.,0,,,,,,"['1', '1']",[],[],[],[],4.67
11.04.,Gadamauri B.,2,,,,,,"['4', '4']","['2', '1', '4', '1', '6', '5']","['3', '2', '5', '2', '6', '3']",[],[],2.69
11.04.,Barroso Campos A.,1,,,,,,"['1', '0']","['2', '4', '5', '5']","['3', '5']",[],[],1.42
10.04.,Gadamauri B.,2,,,,,,"['2', '1']","['3', '3', '7', '5']","['6', '6']",[],[],2.44
10.04.,Vylegzhanin N.,1,,,,,,"['2', '2', '4', '2']","['2', '1']","['6', '5']",[],[],1.50
09.04.,Gadamauri B.,2,,,,,,[],"['5', '5']","['4', '3']",[],[],2.09
09.04.,Castagnola L.,1,,,,,,"['3', '2']","['2', '1']",[],[],[],1.68
08.03.,Carboni L.,2,,,,,,"['3', '2', '6', '5']","['2', '1', '4', '1']",[],[],[],1.88
08.03.,Gadamauri B.,0,,,,,,"['5', '5']",[],[],[],[],1.82
08.03.,Gadamauri B.,2,,,,,,"['2', '1', '4', '1']","['1', '0']",[],[],[],1.63
08.03.,Deschamps T.,0,,,,,,[],[],[],[],[],2.16
