Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Beijing (China),hard,header
20.06. 15:40,Putintseva Y.,2,6,6,,,,4,0,80%,85% (28/33),63% (5/8),0% (0/0),33% (8/24),71% (15/21),57% (4/7),7,80% (33/41),51% (23/45),65% (56/86),7,100% (8/8),57% (4/7),80% (12/15),"['2', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.74
20.06. 15:40,Kalinina A.,0,3,0,,,,0,5,53%,67% (16/24),29% (6/21),43% (3/7),15% (5/33),38% (3/8),0% (0/0),3,49% (22/45),20% (8/41),35% (30/86),1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],2.12
18.06. 20:50,Putintseva Y.,2,6,6,,,,1,0,82%,66% (40/61),46% (6/13),83% (10/12),45% (15/33),55% (16/29),57% (4/7),8,62% (46/74),50% (31/62),57% (77/136),6,80% (8/10),44% (4/9),63% (12/19),"['5', '3']","['1', '0', '3', '0', '4', '1']",[],[],[],1.63
18.06. 20:50,Burel C.,0,3,4,,,,2,7,53%,55% (18/33),45% (13/29),43% (3/7),34% (21/61),54% (7/13),17% (2/12),3,50% (31/62),38% (28/74),43% (59/136),2,56% (5/9),20% (2/10),37% (7/19),[],"['1', '3', '2', '4']",[],[],[],2.32
WTA - SINGLES :  French Open (France),clay,header
30.05. 14:40,Putintseva Y.,1,6,1,5,,,1,3,62%,67% (33/49),47% (14/30),29% (2/7),36% (25/69),29% (7/24),38% (3/8),30,37,56% (5/9),6,59% (47/79),34% (32/93),46% (79/172),4,64% (9/14),20% (3/15),41% (12/29),"['2', '1', '3', '4', '5', '4']",[],[],[],[],2.12
30.05. 14:40,Badosa P.,2,4,6,7,,,3,2,74%,64% (44/69),71% (17/24),63% (5/8),33% (16/49),53% (16/30),71% (5/7),33,25,52% (15/29),10,66% (61/93),41% (32/79),54% (93/172),3,80% (12/15),36% (5/14),59% (17/29),"['2', '2', '4', '2']","['2', '0', '5', '1']","['6', '5']",[],[],1.74
28.05. 23:50,Putintseva Y.,2,6,6,,,,1,2,84%,74% (31/42),50% (4/8),100% (1/1),52% (13/25),73% (8/11),100% (4/4),19,12,67% (2/3),7,70% (35/50),58% (21/36),65% (56/86),9,100% (8/8),57% (4/7),80% (12/15),"['3', '1', '5', '1']","['1', '0', '3', '0']",[],[],[],1.73
28.05. 23:50,Stephens S.,0,1,2,,,,0,3,69%,48% (12/25),27% (3/11),0% (0/4),26% (11/42),50% (4/8),0% (0/1),8,27,23% (3/13),4,42% (15/36),30% (15/50),35% (30/86),1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],2.12
WTA - SINGLES :  Strasbourg (France),clay,header
20.05. 16:15,Putintseva Y.,0,0,5,,,,2,5,68%,40% (19/48),43% (10/23),50% (7/14),29% (10/34),69% (11/16),100% (3/3),4,41% (29/71),42% (21/50),41% (50/121),2,22% (2/9),33% (3/9),28% (5/18),[],"['1', '2', '2', '3', '5', '4']",[],[],[],1.54
20.05. 16:15,Siniakova K.,2,6,7,,,,0,0,68%,71% (24/34),31% (5/16),0% (0/3),60% (29/48),52% (12/23),50% (7/14),6,58% (29/50),59% (42/71),59% (71/121),8,67% (6/9),78% (7/9),72% (13/18),"['2', '0', '4', '0', '6', '0']","['2', '0', '3', '1', '5', '5', '7', '5']",[],[],[],2.50
WTA - SINGLES :  Strasbourg (France) - Qualification,clay,header
19.05. 13:40,Putintseva Y.,2,6,0,6,,,0,3,71%,54% (26/48),40% (8/20),62% (8/13),49% (20/41),63% (15/24),60% (6/10),7,50% (34/68),54% (35/65),52% (69/133),5,55% (6/11),55% (6/11),55% (12/22),"['2', '0', '4', '0']",[],"['1', '0', '3', '0', '5', '2', '6', '3']",[],[],1.35
19.05. 13:40,Krueger A.,1,1,6,3,,,1,6,63%,51% (21/41),38% (9/24),40% (4/10),46% (22/48),60% (12/20),38% (5/13),7,46% (30/65),50% (34/68),48% (64/133),6,45% (5/11),45% (5/11),45% (10/22),[],"['2', '0', '4', '0', '6', '0']","['1', '3', '3', '5']",[],[],3.07
18.05. 14:55,Putintseva Y.,2,6,6,,,,0,1,73%,73% (22/30),55% (6/11),100% (5/5),65% (17/26),67% (12/18),75% (6/8),8,68% (28/41),66% (29/44),67% (57/85),8,100% (6/6),86% (6/7),92% (12/13),"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.02
18.05. 14:55,Raina A.,0,1,0,,,,0,1,59%,35% (9/26),33% (6/18),25% (2/8),27% (8/30),45% (5/11),0% (0/5),3,34% (15/44),32% (13/41),33% (28/85),1,14% (1/7),0% (0/6),8% (1/13),[],[],[],[],[],12.10
WTA - SINGLES :  Rome (Italy),clay,header
11.05. 14:40,Putintseva Y.,0,3,4,,,,4,2,74%,67% (30/45),31% (5/16),50% (3/6),29% (13/45),39% (11/28),20% (1/5),5,57% (35/61),33% (24/73),44% (59/134),3,67% (6/9),10% (1/10),37% (7/19),[],"['2', '0']",[],[],[],12.90
11.05. 14:40,Swiatek I.,2,6,6,,,,0,2,62%,71% (32/45),61% (17/28),80% (4/5),33% (15/45),69% (11/16),50% (3/6),7,67% (49/73),43% (26/61),56% (75/134),5,90% (9/10),33% (3/9),63% (12/19),"['4', '2']","['3', '4', '5', '4']",[],[],[],1.03
10.05. 00:05,Putintseva Y.,2,6,6,,,,0,3,75%,71% (32/45),53% (8/15),75% (3/4),48% (16/33),50% (8/16),57% (4/7),5,67% (40/60),49% (24/49),59% (64/109),3,89% (8/9),50% (4/8),71% (12/17),"['1', '1', '4', '2']","['2', '1', '5', '2']",[],[],[],2.12
10.05. 00:05,Stephens S.,0,3,2,,,,0,0,67%,52% (17/33),50% (8/16),43% (3/7),29% (13/45),47% (7/15),25% (1/4),6,51% (25/49),33% (20/60),41% (45/109),1,50% (4/8),11% (1/9),29% (5/17),"['1', '0']",[],[],[],[],1.74
07.05. 18:40,Putintseva Y.,2,6,6,,,,4,1,68%,63% (31/49),52% (12/23),75% (6/8),34% (12/35),75% (15/20),50% (4/8),11,60% (43/72),49% (27/55),55% (70/127),3,80% (8/10),44% (4/9),63% (12/19),"['2', '2', '5', '3']","['2', '1', '5', '4']",[],[],[],1.46
07.05. 18:40,Trevisan M.,0,3,4,,,,1,3,64%,66% (23/35),25% (5/20),50% (4/8),37% (18/49),48% (11/23),25% (2/8),6,51% (28/55),40% (29/72),45% (57/127),2,56% (5/9),20% (2/10),37% (7/19),"['1', '0']","['4', '4']",[],[],[],2.78
WTA - SINGLES :  Madrid (Spain),clay,header
01.05. 15:40,Putintseva Y.,1,6,6^4,5,,,0,2,76%,63% (53/84),62% (16/26),75% (9/12),30% (21/71),52% (24/46),30% (3/10),7,63% (69/110),38% (45/117),50% (114/227),3,82% (14/17),18% (3/17),50% (17/34),"['3', '2']","['2', '1']","['4', '2']",[],[],4.85
01.05. 15:40,Rybakina E.,2,4,7^7,7,,,6,8,61%,70% (50/71),48% (22/46),70% (7/10),37% (31/84),38% (10/26),25% (3/12),8,62% (72/117),37% (41/110),50% (113/227),5,82% (14/17),18% (3/17),50% (17/34),[],"['2', '2']","['4', '5', '6', '5']",[],[],1.19
29.04. 22:45,Putintseva Y.,2,3,6,6,,,1,0,74%,63% (33/52),61% (11/18),63% (5/8),46% (33/71),52% (11/21),55% (6/11),6,63% (44/70),48% (44/92),54% (88/162),5,75% (9/12),46% (6/13),60% (15/25),"['1', '0', '3', '0']","['4', '2', '6', '2']","['4', '2', '6', '2']",[],[],2.40
29.04. 22:45,Kasatkina D.,1,6,2,2,,,0,3,77%,54% (38/71),48% (10/21),45% (5/11),37% (19/52),39% (7/18),38% (3/8),5,52% (48/92),37% (26/70),46% (74/162),6,54% (7/13),25% (3/12),40% (10/25),"['1', '3', '3', '3', '5', '3']",[],[],[],[],1.59
28.04. 16:40,Putintseva Y.,2,6,6,,,,0,0,80%,74% (26/35),78% (7/9),100% (1/1),50% (19/38),56% (5/9),80% (4/5),8,75% (33/44),51% (24/47),63% (57/91),7,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '5', '2']","['1', '0', '3', '0']",[],[],[],1.44
28.04. 16:40,Dolehide C.,0,2,2,,,,0,1,81%,50% (19/38),44% (4/9),20% (1/5),26% (9/35),22% (2/9),0% (0/1),2,49% (23/47),25% (11/44),37% (34/91),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.82
26.04. 18:45,Putintseva Y.,1,7,2,,,,1,0,85%,50% (20/40),43% (3/7),40% (2/5),42% (10/24),72% (18/25),71% (5/7),6,49% (23/47),57% (28/49),53% (51/96),4,57% (4/7),71% (5/7),64% (9/14),"['1', '1', '3', '3', '5', '3', '7', '5']","['2', '0']",[],[],[],3.20
26.04. 18:45,Zheng Q.,0,5,0,,,,2,1,49%,58% (14/24),28% (7/25),29% (2/7),50% (20/40),57% (4/7),60% (3/5),4,43% (21/49),51% (24/47),47% (45/96),2,29% (2/7),43% (3/7),36% (5/14),"['1', '0', '3', '2', '4', '5']",[],[],[],[],1.36
24.04. 14:40,Putintseva Y.,2,6,6,,,,0,1,86%,64% (38/59),50% (5/10),89% (8/9),41% (14/34),57% (13/23),57% (4/7),5,62% (43/69),47% (27/57),56% (70/126),5,89% (8/9),44% (4/9),67% (12/18),"['3', '2', '5', '2']","['2', '3', '4', '3']",[],[],[],1.59
24.04. 14:40,Yuan Y.,0,2,4,,,,1,3,60%,59% (20/34),43% (10/23),43% (3/7),36% (21/59),50% (5/10),11% (1/9),10,53% (30/57),38% (26/69),44% (56/126),3,56% (5/9),11% (1/9),33% (6/18),[],"['2', '0']",[],[],[],2.40
WTA - SINGLES :  Billie Jean King Cup - World Group (World) - Qualification,-,header
13.04. 09:40,Putintseva Y.,1,4,6,6^7,,,1,2,71%,61% (43/70),45% (13/29),29% (2/7),38% (29/77),56% (15/27),71% (5/7),28,57,67% (2/3),7,57% (56/99),42% (44/104),49% (100/203),4,69% (11/16),33% (5/15),52% (16/31),[],"['2', '0', '4', '0', '5', '3']","['2', '1', '3', '2']",[],[],1.47
13.04. 09:40,Hibino N.,2,6,3,7^9,,,2,4,74%,62% (48/77),44% (12/27),29% (2/7),39% (27/70),55% (16/29),71% (5/7),26,51,86% (6/7),9,58% (60/104),43% (43/99),51% (103/203),3,67% (10/15),31% (5/16),48% (15/31),"['4', '3']","['1', '4', '3', '4']","['2', '2', '3', '3']",[],[],2.59
12.04. 12:20,Putintseva Y.,0,2,6^5,,,,4,2,77%,64% (34/53),63% (10/16),60% (3/5),18% (7/38),35% (9/26),0% (0/3),16,20,0% (0/0),5,62% (44/71),25% (16/64),44% (60/135),1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],2.97
12.04. 12:20,Osaka N.,2,6,7^7,,,,15,0,59%,82% (31/38),65% (17/26),100% (3/3),36% (19/53),38% (6/16),40% (2/5),31,33,0% (0/2),8,75% (48/64),38% (27/71),56% (75/135),5,100% (10/10),20% (2/10),60% (12/20),"['4', '2', '6', '2']",[],[],[],[],1.37
WTA - SINGLES :  Miami (USA),hard,header
26.03. 23:40,Putintseva Y.,1,6^4,6,3,,,5,0,78%,59% (54/91),40% (10/25),69% (11/16),39% (23/59),60% (21/35),67% (6/9),11,55% (64/116),47% (44/94),51% (108/210),4,64% (9/14),43% (6/14),54% (15/28),"['1', '0', '5', '4']","['2', '0', '3', '1', '5', '1']","['2', '5']",[],[],3.20
26.03. 23:40,Azarenka V.,2,7^7,1,6,,,2,5,63%,61% (36/59),40% (14/35),33% (3/9),41% (37/91),60% (15/25),31% (5/16),5,53% (50/94),45% (52/116),49% (102/210),4,57% (8/14),36% (5/14),46% (13/28),"['3', '3', '5', '5']","['1', '2']","['3', '1', '5', '1']",[],[],1.36
25.03. 22:15,Putintseva Y.,2,6,7^7,,,,1,0,70%,63% (31/49),76% (16/21),67% (4/6),39% (24/61),50% (10/20),33% (3/9),7,67% (47/70),42% (34/81),54% (81/151),4,82% (9/11),27% (3/11),55% (12/22),"['1', '0', '3', '0']","['3', '4']",[],[],[],2.03
25.03. 22:15,Kalinina A.,0,4,6^5,,,,0,1,75%,61% (37/61),50% (10/20),67% (6/9),37% (18/49),24% (5/21),33% (2/6),5,58% (47/81),33% (23/70),46% (70/151),3,73% (8/11),18% (2/11),45% (10/22),"['2', '4']","['3', '1']",[],[],[],1.79
24.03. 07:10,Putintseva Y.,2,6,2,6,,,1,2,65%,81% (38/47),48% (12/25),0% (0/2),24% (11/45),50% (13/26),75% (3/4),8,69% (50/72),34% (24/71),52% (74/143),4,85% (11/13),23% (3/13),54% (14/26),"['1', '0', '3', '0']",[],"['5', '4']",[],[],1.69
24.03. 07:10,Minnen G.,1,2,6,4,,,2,4,63%,76% (34/45),50% (13/26),25% (1/4),19% (9/47),52% (13/25),100% (2/2),8,66% (47/71),31% (22/72),48% (69/143),3,77% (10/13),15% (2/13),46% (12/26),[],"['3', '1', '6', '2']",[],[],[],2.21
22.03. 00:35,Putintseva Y.,2,6,4,6,,,2,0,73%,66% (40/61),45% (10/22),50% (3/6),37% (14/38),59% (26/44),43% (6/14),12,60% (50/83),49% (40/82),55% (90/165),4,77% (10/13),46% (6/13),62% (16/26),"['1', '0', '3', '0', '4', '1', '6', '1']","['3', '3']","['4', '2']",[],[],2.61
22.03. 00:35,Samsonova L.,1,1,6,3,,,1,8,46%,63% (24/38),41% (18/44),57% (8/14),34% (21/61),55% (12/22),50% (3/6),9,51% (42/82),40% (33/83),45% (75/165),3,54% (7/13),23% (3/13),38% (10/26),"['1', '3']","['2', '1', '5', '4']",[],[],[],1.50
20.03. 03:00,Putintseva Y.,2,6,3,6,,,1,2,70%,56% (36/64),41% (11/27),50% (7/14),47% (30/64),68% (23/34),62% (8/13),8,52% (47/91),54% (54/100),53% (101/191),4,50% (7/14),62% (8/13),56% (15/27),"['2', '0', '4', '0', '6', '2']","['3', '5']","['1', '0', '3', '0', '4', '1', '5', '4']",[],[],1.44
20.03. 03:00,Bucsa C.,1,2,6,4,,,1,1,65%,53% (34/64),32% (11/34),38% (5/13),44% (28/64),59% (16/27),50% (7/14),5,46% (46/100),48% (44/91),47% (90/191),4,38% (5/13),50% (7/14),44% (12/27),"['1', '4']","['1', '0', '3', '0', '6', '3']","['1', '3', '2', '4', '4', '4']",[],[],2.82
WTA - SINGLES :  Indian Wells (USA),hard,header
13.03. 08:40,Putintseva Y.,0,1,2,,,,0,4,61%,40% (14/35),41% (9/22),57% (8/14),27% (8/30),46% (6/13),33% (2/6),6,40% (23/57),33% (14/43),37% (37/100),1,14% (1/7),25% (2/8),20% (3/15),[],"['1', '3', '2', '4']",[],[],[],14.80
13.03. 08:40,Swiatek I.,2,6,6,,,,1,1,70%,73% (22/30),54% (7/13),67% (4/6),60% (21/35),59% (13/22),43% (6/14),8,67% (29/43),60% (34/57),63% (63/100),8,75% (6/8),86% (6/7),80% (12/15),"['3', '1', '5', '1']","['1', '0', '3', '0', '4', '1', '5', '2']",[],[],[],1.02
11.03. 01:20,Putintseva Y.,2,6,6,,,,0,5,65%,72% (26/36),53% (10/19),88% (7/8),47% (15/32),56% (14/25),71% (5/7),8,65% (36/55),51% (29/57),58% (65/112),5,88% (7/8),56% (5/9),71% (12/17),"['2', '1', '4', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],2.12
11.03. 01:20,Keys M.,0,4,1,,,,0,1,56%,53% (17/32),44% (11/25),29% (2/7),28% (10/36),47% (9/19),13% (1/8),6,49% (28/57),35% (19/55),42% (47/112),2,44% (4/9),13% (1/8),29% (5/17),"['2', '2']",[],[],[],[],1.73
09.03. 00:40,Putintseva Y.,2,7,6,,,,1,1,63%,67% (26/39),52% (12/23),80% (8/10),35% (13/37),67% (26/39),50% (6/12),5,61% (38/62),51% (39/76),56% (77/138),9,78% (7/9),60% (6/10),68% (13/19),"['1', '2', '4', '5', '6', '5']","['1', '0', '3', '0', '6', '1']",[],[],[],2.71
09.03. 00:40,Alexandrova E.,0,5,1,,,,4,10,49%,65% (24/37),33% (13/39),50% (6/12),33% (13/39),48% (11/23),20% (2/10),5,49% (37/76),39% (24/62),44% (61/138),3,40% (4/10),22% (2/9),32% (6/19),"['2', '0', '4', '2']",[],[],[],[],1.47
