Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ITF MEN - SINGLES :  M15 Monastir 30 (Tunisia),hard,header
11.08.2020,Sweeny D.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1', '6', '3']","['3', '1', '5', '1']",[],[],[],1.17
30.07.2020,Dong C.,2,6,2,10,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['5', '4']","['2', '3']","['1', '0', '4', '0', '5', '0', '8', '0']",[],[],0
30.07.2020,Puodziunas S.,1,4,6,5,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['3', '1', '4', '2', '6', '2']","['2', '8']",[],[],0
29.07.2020,Dong C.,2,6,3,10,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '2', '6', '2']",[],"['2', '3', '5', '4', '8', '4', '9', '4']",[],[],1.97
29.07.2020,Babanine A.,1,2,6,4,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['1', '0', '6', '3']","['2', '0']",[],[],1.77
28.07.2020,Dong C.,2,7,2,12,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['5', '5', '7', '5']",[],"['2', '4', '3', '4', '4', '6', '5', '6', '7', '7', '9', '9', '10', '9', '12', '10']",[],[],1.72
28.07.2020,Sach T.,1,5,6,10,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '2']","['2', '1', '5', '2']","['1', '0', '4', '1', '5', '3', '6', '3', '7', '5', '9', '7', '10', '10']",[],[],2.04
27.07.2020,Dong C.,0,0,3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],0
27.07.2020,Ellis B.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0', '6', '0']","['2', '0']",[],[],[],0
18.07.2020,Dong C.,1,3,6,1,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '3']","['1', '1', '3', '3', '5', '3', '6', '4']",[],[],[],0
18.07.2020,Sach T.,2,6,4,10,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '1', '4', '2']","['1', '0', '2', '1', '4', '5']","['1', '0', '4', '0', '5', '0', '8', '1']",[],[],0
17.07.2020,Dong C.,0,3,2,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],0
17.07.2020,Bouzige M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1', '6', '3']","['4', '2', '6', '2']",[],[],[],0
16.07.2020,Dong C.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0', '6', '2']","['1', '1', '3', '1']",[],[],[],0
16.07.2020,Barnett J.,0,2,3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '5']","['1', '0']",[],[],[],0
06.07.2020,Dong C.,0,4,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['4', '4']",[],[],[],2.18
06.07.2020,Walkin B.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0']","['4', '3', '5', '4']",[],[],[],1.63
05.07.2020,Dong C.,2,6,7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '2', '5', '3']","['6', '5']",[],[],[],0
05.07.2020,Sekulic P.,0,3,5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1']",[],[],[],[],0
04.07.2020,Dong C.,0,3,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '1']",[],[],[],[],0
04.07.2020,Court J.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '4', '3', '6', '3']","['2', '0', '4', '0']",[],[],[],0
BOYS - SINGLES :  Australian Open (Australia),hard,header
26.01.2020,Dong C.,1,7,2,2,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '5', '5', '7', '5']",[],[],[],[],0
26.01.2020,Cobolli F.,2,5,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '2', '5', '4']","['3', '2', '5', '2']","['1', '0', '4', '1']",[],[],0
BOYS - SINGLES :  US Open (USA) - Qualification,hard,header
31.08.2019,Dong C.,0,4,6^4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '0']",[],[],[],0
31.08.2019,Paulson A.,2,6,7^7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['5', '4']","['2', '3']",[],[],[],0
30.08.2019,Dong C.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '1', '6', '2']","['6', '4']",[],[],[],0
30.08.2019,Oliveira B.,0,2,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],0
BOYS - SINGLES :  Australian Open (Australia),hard,header
19.01.2019,Dong C.,0,3,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '2']",[],[],[],0
19.01.2019,Thomson C.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['5', '3']","['1', '0', '3', '2']",[],[],[],0
BOYS - SINGLES :  Australian Open (Australia),hard,header
21.01.2018,Dong C.,0,3,3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '1']","['1', '2']",[],[],[],0
21.01.2018,Hardt N.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '2', '1', '6', '3']","['2', '0', '5', '3']",[],[],[],0
