Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.08.,Sheehy J.,2,,,,,,9,4,65%,71% (25/35),32% (6/19),50% (3/6),55% (21/38),55% (12/22),67% (6/9),35,30,55% (12/22),57% (31/54),55% (33/60),56% (64/114),5,0,67% (6/9),60% (6/10),63% (12/19),"['2', '1', '4', '3', '6', '3']","['2', '0', '4', '2', '6', '4']",[],[],[],18.0
11.08.,Castaneda M.,0,,,,,,1,4,63%,45% (17/38),45% (10/22),33% (3/9),29% (10/35),68% (13/19),50% (3/6),10,14,100% (1/1),45% (27/60),43% (23/54),44% (50/114),5,1,40% (4/10),33% (3/9),37% (7/19),"['2', '2']","['1', '2', '4', '5']",[],[],[],1.59
10.08.,Castaneda M.,2,,,,,,0,4,65%,69% (25/36),53% (10/19),50% (2/4),52% (15/29),56% (9/16),56% (5/9),7,11,40% (2/5),64% (35/55),53% (24/45),59% (59/100),7,0,78% (7/9),63% (5/8),71% (12/17),"['2', '0', '3', '1', '4', '2']","['2', '1', '5', '2']",[],[],[],1.65
10.08.,Beltran Rubio M.,0,,,,,,0,3,64%,48% (14/29),44% (7/16),44% (4/9),31% (11/36),47% (9/19),50% (2/4),17,32,80% (12/15),47% (21/45),36% (20/55),41% (41/100),3,0,38% (3/8),22% (2/9),29% (5/17),"['1', '2', '2', '3']",[],[],[],[],19.0
09.07.,Pereira J.,2,,,,,,[],"['3', '1']","['2', '1']",[],[],1.06
04.03.,Fellin P. O.,2,,,,,,"['2', '1', '3', '2', '5', '2', '6', '3']","['4', '2']",[],[],[],1.25
04.03.,Castaneda M.,0,,,,,,"['2', '2', '3', '5']",[],[],[],[],3.62
11.02.,Kumar P.,2,,,,,,"['1', '0', '6', '5']","['2', '1', '4', '1', '6', '1']",[],[],[],1.38
11.02.,Castaneda M.,0,,,,,,"['4', '4']",[],[],[],[],2.85
30.01.,Perez A.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.05
30.01.,Castaneda M.,0,,,,,,[],[],[],[],[],7.90
28.01.,Castaneda M.,2,,,,,,"['2', '0', '5', '1']",[],"['2', '2', '5', '5']",[],[],3.26
28.01.,Buitrago N.,1,,,,,,[],"['2', '0', '5', '1']","['2', '1', '5', '4']",[],[],1.30
15.01.,Rodriguez L. J.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '4', '3', '6', '5']",[],[],[],1.06
15.01.,Castaneda M.,0,,,,,,[],"['3', '3', '4', '4']",[],[],[],7.30
29.10.2024,Sengul B.,2,,,,,,"['2', '0', '3', '1']","['6', '4']","['2', '0', '4', '0', '6', '0']",[],[],1.28
29.10.2024,Castaneda M.,1,,,,,,"['1', '2', '2', '3', '5', '4']",[],[],[],[],3.40
15.09.2024,Linde Palacios S. A.,2,,,,,,2,3,47%,63% (26/41),47% (22/47),36% (4/11),47% (28/60),46% (13/28),60% (6/10),55% (48/88),47% (41/88),51% (89/176),6,0,53% (8/15),40% (6/15),47% (14/30),"['1', '2']","['1', '2', '3', '2', '5', '4']","['1', '2', '6', '5']",[],[],3.58
15.09.2024,Castaneda M.,1,,,,,,0,2,68%,53% (32/60),54% (15/28),40% (4/10),37% (15/41),53% (25/47),64% (7/11),53% (47/88),45% (40/88),49% (87/176),4,1,60% (9/15),47% (7/15),53% (16/30),"['2', '0', '4', '2', '6', '2']","['2', '0', '4', '4']","['2', '0', '6', '6']",[],[],1.27
22.08.2024,Cid Subervi R.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['1', '1', '4', '2', '5', '3']",[],[],[],1.06
22.08.2024,Castaneda M.,0,,,,,,[],"['1', '0', '3', '4']",[],[],[],7.70
21.08.2024,Castaneda M.,1,,,,,,"['3', '1', '5', '1']","['1', '2', '3', '2']",[],[],[],1.69
21.08.2024,Nakamine L. J.,0,,,,,,[],"['2', '0']",[],[],[],2.06
15.08.2024,Farjat T.,2,,,,,,"['4', '2', '6', '2']","['3', '1', '5', '1']",[],[],[],1.06
15.08.2024,Castaneda M.,0,,,,,,[],[],[],[],[],7.60
13.08.2024,Castaneda M.,2,,,,,,"['1', '1', '4', '4', '6', '4']","['3', '1', '5', '1']",[],[],[],1.03
13.08.2024,Varillas R.,0,,,,,,"['1', '0', '3', '2']",[],[],[],[],9.80
06.08.2024,Farjat T.,2,,,,,,6,1,68%,84% (32/38),56% (10/18),100% (1/1),0 km/h,0 km/h,39% (12/31),56% (14/25),43% (3/7),73% (40/55),46% (26/56),59% (66/111),6,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '4', '0']","['3', '2']",[],[],[],1.05
06.08.2024,Castaneda M.,0,,,,,,1,6,55%,61% (19/31),44% (11/25),57% (4/7),0 km/h,0 km/h,18% (7/38),44% (8/18),0% (0/1),54% (30/56),27% (15/55),41% (45/111),4,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],8.95
05.08.2024,Castaneda M.,2,,,,,,1,2,75%,61% (46/76),52% (13/25),62% (8/13),0 km/h,0 km/h,32% (19/59),52% (27/52),50% (4/8),58% (59/101),41% (46/111),50% (105/212),5,0,67% (10/15),27% (4/15),47% (14/30),"['2', '0']","['1', '4']","['1', '0', '3', '0']",[],[],2.59
05.08.2024,Perez B.,1,,,,,,11,3,53%,68% (40/59),48% (25/52),50% (4/8),0 km/h,0 km/h,39% (30/76),48% (12/25),38% (5/13),59% (65/111),42% (42/101),50% (107/212),5,0,73% (11/15),33% (5/15),53% (16/30),"['3', '4']","['2', '0', '4', '0', '6', '2']","['1', '3']",[],[],1.47
04.08.2024,Castaneda M.,2,,,,,,0,3,72%,60% (37/62),38% (9/24),44% (4/9),0 km/h,0 km/h,53% (24/45),47% (15/32),75% (6/8),53% (46/86),51% (39/77),52% (85/163),6,0,58% (7/12),50% (6/12),54% (13/24),"['1', '0', '3', '2', '6', '5']","['1', '0', '3', '0', '6', '5']",[],[],[],10.50
04.08.2024,Aguilar J. C. M.,0,,,,,,0,5,58%,47% (21/45),53% (17/32),25% (2/8),0 km/h,0 km/h,40% (25/62),63% (15/24),56% (5/9),49% (38/77),47% (40/86),48% (78/163),4,2,50% (6/12),42% (5/12),46% (11/24),"['1', '1', '3', '3']","['1', '3', '5', '5', '6', '6']",[],[],[],1.03
24.07.2024,Rubio Fierros A. F.,2,,,,,,"['2', '0', '4', '0']","['1', '2', '3', '2', '5', '2', '6', '3']",[],[],[],1.04
24.07.2024,Castaneda M.,0,,,,,,[],"['2', '0', '3', '5']",[],[],[],8.80
23.06.2024,Nordquist A.,2,,,,,,1,1,64%,69% (20/29),69% (11/16),60% (3/5),47% (21/45),52% (11/21),45% (5/11),69% (31/45),48% (32/66),57% (63/111),7,0,78% (7/9),50% (5/10),63% (12/19),"['3', '4', '5', '4']","['1', '0', '3', '0', '6', '3']",[],[],[],1.13
23.06.2024,Castaneda M.,0,,,,,,0,6,68%,53% (24/45),48% (10/21),55% (6/11),31% (9/29),31% (5/16),40% (2/5),52% (34/66),31% (14/45),43% (48/111),3,1,50% (5/10),22% (2/9),37% (7/19),"['2', '0']","['2', '4']",[],[],[],5.48
