Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Sun F.,2,,,,,,9,8,48%,92% (33/36),56% (22/39),0% (0/1),24% (12/50),55% (26/47),50% (2/4),73% (55/75),39% (38/97),54% (93/172),6,0,93% (13/14),14% (2/14),54% (15/28),[],"['5', '3']","['1', '0']",[],[],1.34
26.08.,Mo Y. C.,1,,,,,,4,6,52%,76% (38/50),45% (21/47),50% (2/4),8% (3/36),44% (17/39),100% (1/1),61% (59/97),27% (20/75),46% (79/172),4,0,86% (12/14),7% (1/14),46% (13/28),"['4', '2']",[],[],[],[],3.10
15.08.,Shin S.,2,,,,,,"['5', '4']",[],"['2', '1', '6', '5']",[],[],19.5
19.03.,Uchida K.,0,,,,,,[],[],[],[],[],1.59
13.03.,Bai Y.,2,,,,,,"['2', '3', '3', '4']","['2', '2', '6', '4']",[],[],[],1.13
13.03.,Mo Y. C.,0,,,,,,"['2', '0', '4', '2']","['2', '1']",[],[],[],5.00
12.03.,Mo Y. C.,2,,,,,,"['2', '1', '6', '3']","['3', '1', '5', '1']",[],[],[],1.25
12.03.,Chiu J.,0,,,,,,[],[],[],[],[],3.62
06.03.,Kukasian A.,2,,,,,,"['3', '1']","['4', '2', '6', '4']","['3', '1']",[],[],1.66
06.03.,Mo Y. C.,1,,,,,,"['2', '3', '6', '5']","['4', '5']",[],[],[],2.11
04.03.,Mo Y. C.,2,,,,,,"['2', '1', '6', '3']","['2', '0', '3', '1', '5', '1']",[],[],[],1.02
04.03.,Pan W.,0,,,,,,[],"['1', '2']",[],[],[],10.20
27.02.,Lee D. H.,2,,,,,,"['1', '0', '3', '0']","['1', '0', '3', '0']",[],[],[],1.33
27.02.,Mo Y. C.,0,,,,,,[],[],[],[],[],3.09
25.02.,Mo Y. C.,2,,,,,,"['4', '2']","['2', '1']","['3', '4', '4', '5', '6', '5']",[],[],1.26
25.02.,Sun Qian,1,,,,,,[],"['3', '3', '7', '5']","['3', '1', '5', '3']",[],[],3.54
01.11.2024,Huang T.,2,,,,,,"['2', '2', '3', '3']","['2', '0', '4', '0', '6', '2']","['3', '1', '5', '1']",[],[],2.24
01.11.2024,Mo Y. C.,1,,,,,,"['1', '0', '3', '2', '5', '4']","['1', '4']",[],[],[],1.59
31.10.2024,Mo Y. C.,2,,,,,,"['3', '1', '5', '1']","['1', '2', '3', '2', '6', '3']",[],[],[],1.28
31.10.2024,Jang Y.,0,,,,,,[],"['2', '0']",[],[],[],3.40
29.10.2024,Mo Y. C.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '1', '5', '2']",[],[],[],1.10
29.10.2024,Yu B.,0,,,,,,[],"['1', '1']",[],[],[],6.01
14.10.2024,Xiao L.,2,,,,,,8,6,52%,78% (21/27),56% (14/25),67% (4/6),44% (11/25),67% (18/27),56% (5/9),67% (35/52),56% (29/52),62% (64/104),6,0,78% (7/9),63% (5/8),71% (12/17),"['1', '1', '3', '1', '5', '1']","['1', '0', '4', '1']",[],[],[],2.16
14.10.2024,Mo Y. C.,0,,,,,,2,3,48%,56% (14/25),33% (9/27),44% (4/9),22% (6/27),44% (11/25),33% (2/6),44% (23/52),33% (17/52),38% (40/104),4,0,38% (3/8),22% (2/9),29% (5/17),"['1', '0']","['2', '4']",[],[],[],1.65
07.10.2024,Lomakin G.,2,,,,,,16,3,72%,78% (39/50),47% (9/19),67% (4/6),40% (17/42),48% (15/31),43% (3/7),70% (48/69),44% (32/73),56% (80/142),5,0,82% (9/11),30% (3/10),57% (12/21),"['6', '5']","['1', '1', '3', '1']",[],[],[],4.20
07.10.2024,Mo Y. C.,0,,,,,,3,3,58%,60% (25/42),52% (16/31),57% (4/7),22% (11/50),53% (10/19),33% (2/6),56% (41/73),30% (21/69),44% (62/142),5,1,70% (7/10),18% (2/11),43% (9/21),"['6', '6']","['1', '0']",[],[],[],1.17
24.09.2024,Jeong Y.,2,,,,,,"['4', '2']","['2', '1', '4', '3']","['4', '5', '6', '5']",[],[],3.14
24.09.2024,Mo Y. C.,1,,,,,,[],"['2', '2', '4', '4', '6', '4']","['5', '3']",[],[],1.32
12.09.2024,O'Connell C.,1,,,,,,9,1,56%,84% (16/19),73% (11/15),100% (2/2),33% (8/24),67% (10/15),33% (2/6),79% (27/34),46% (18/39),62% (45/73),6,0,100% (6/6),40% (2/5),73% (8/11),"['4', '2', '6', '2']",[],[],[],[],1.06
12.09.2024,Mo Y. C.,0,,,,,,3,3,62%,67% (16/24),33% (5/15),67% (4/6),16% (3/19),27% (4/15),0% (0/2),54% (21/39),21% (7/34),38% (28/73),4,0,60% (3/5),0% (0/6),27% (3/11),[],[],[],[],[],7.95
