Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
22.08.,Echargui M.,2,,,,,,1,3,31%,63% (10/16),57% (20/35),0% (0/2),49% (20/41),84% (16/19),45% (5/11),9,27,80% (4/5),59% (30/51),57% (33/58),58% (63/109),7,0,78% (7/9),63% (5/8),71% (12/17),"['3', '1', '6', '4']","['2', '0', '3', '1', '5', '1']",[],[],[],1.52
22.08.,Bertrand R.,0,,,,,,0,7,68%,54% (22/41),16% (3/19),55% (6/11),63% (10/16),43% (15/35),100% (2/2),8,42,75% (3/4),43% (25/58),41% (21/51),42% (46/109),3,3,38% (3/8),22% (2/9),29% (5/17),"['4', '5']","['1', '2']",[],[],[],2.54
21.08.,Bertrand R.,2,,,,,,1,13,49%,62% (34/55),46% (26/57),70% (14/20),43% (32/75),55% (27/49),33% (7/21),37,75,83% (19/23),54% (60/112),48% (59/124),50% (119/236),8,0,63% (10/16),44% (7/16),53% (17/32),"['2', '3', '3', '4']","['2', '1', '6', '5']","['1', '0', '4', '3', '5', '4']",[],[],2.48
21.08.,Paul J.,1,,,,,,0,6,60%,57% (43/75),45% (22/49),67% (14/21),38% (21/55),54% (31/57),30% (6/20),23,57,64% (9/14),52% (65/124),46% (52/112),50% (117/236),2,0,56% (9/16),38% (6/16),47% (15/32),"['2', '0', '4', '2', '6', '4']","['4', '4']","['2', '2', '4', '4']",[],[],1.50
20.08.,Bertrand R.,2,,,,,,0,6,55%,48% (20/42),43% (15/35),53% (8/15),43% (24/56),69% (27/39),57% (8/14),13,55,60% (6/10),45% (35/77),54% (51/95),50% (86/172),8,0,46% (6/13),62% (8/13),54% (14/26),"['1', '1']","['1', '1', '3', '1', '4', '4', '6', '4']","['2', '0', '3', '1', '6', '2']",[],[],1.69
20.08.,Moroni F.,1,,,,,,1,7,59%,57% (32/56),31% (12/39),43% (6/14),52% (22/42),57% (20/35),47% (7/15),13,62,50% (3/6),46% (44/95),55% (42/77),50% (86/172),2,0,38% (5/13),54% (7/13),46% (12/26),"['1', '0', '2', '1', '4', '1']","['1', '0', '2', '3', '4', '3']","['1', '2']",[],[],2.07
19.08.,Bertrand R.,2,,,,,,2,2,67%,67% (20/30),53% (8/15),33% (1/3),47% (18/38),68% (19/28),38% (6/16),10,18,67% (4/6),62% (28/45),56% (37/66),59% (65/111),7,0,75% (6/8),75% (6/8),75% (12/16),"['1', '0', '3', '2', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.69
19.08.,Azoidis D.,0,,,,,,2,3,58%,53% (20/38),32% (9/28),63% (10/16),33% (10/30),47% (7/15),67% (2/3),11,39,50% (4/8),44% (29/66),38% (17/45),41% (46/111),3,0,25% (2/8),25% (2/8),25% (4/16),"['1', '1', '3', '5']",[],[],[],[],18.5
15.08.,Donnet E.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '6', '3']",[],[],[],1.66
14.07.,Merida Aguilar D.,2,,,,,,1,3,69%,67% (45/67),53% (16/30),75% (6/8),46% (31/68),61% (14/23),70% (7/10),36,48,75% (3/4),63% (61/97),49% (45/91),56% (106/188),8,0,85% (11/13),54% (7/13),69% (18/26),"['1', '2', '3', '2']","['2', '0', '4', '0']","['2', '1', '4', '1', '6', '1']",[],[],1.72
14.07.,Bertrand R.,1,,,,,,1,4,75%,54% (37/68),39% (9/23),30% (3/10),33% (22/67),47% (14/30),25% (2/8),13,41,57% (4/7),51% (46/91),37% (36/97),44% (82/188),2,0,46% (6/13),15% (2/13),31% (8/26),"['2', '0', '3', '3']",[],[],[],[],2.03
05.07.,Escoffier A.,2,,,,,,"['2', '1', '5', '2']","['1', '2', '3', '2']",[],[],[],1.99
05.07.,Bertrand R.,0,,,,,,[],"['2', '0']",[],[],[],1.73
04.07.,Bertrand R.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['3', '1']",[],[],[],1.16
04.07.,Fellin P. O.,0,,,,,,[],[],[],[],[],4.62
03.07.,Bertrand R.,2,,,,,,"['3', '1', '6', '2']","['2', '2', '4', '2', '6', '2']",[],[],[],1.07
03.07.,Bondaz M.,0,,,,,,[],"['1', '0']",[],[],[],6.75
02.07.,Bertrand R.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '5', '1']",[],[],[],1.05
02.07.,Vaksmann R.,0,,,,,,[],[],[],[],[],7.70
29.06.,Bertrand R.,2,,,,,,[],"['2', '1', '4', '1', '6', '3']","['5', '5']",[],[],2.03
29.06.,Coulibaly E.,1,,,,,,"['3', '2', '6', '3']","['3', '5']","['3', '2']",[],[],1.70
28.06.,Bertrand R.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.19
28.06.,Martinez Gomez P.,0,,,,,,[],"['1', '5']",[],[],[],4.19
27.06.,Bertrand R.,2,,,,,,"['1', '0', '6', '5']","['2', '1', '6', '3']",[],[],[],1.33
27.06.,Ostapenkov D.,0,,,,,,"['1', '1']",[],[],[],[],3.09
25.06.,Bertrand R.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['1', '1', '5', '3']",[],[],[],-
25.06.,Medus A.,0,,,,,,[],"['1', '0']",[],[],[],-
22.06.,Bertrand R.,2,,,,,,"['2', '0']",[],"['2', '0', '4', '0']",[],[],1.81
22.06.,Andaloro F.,1,,,,,,[],"['3', '1', '5', '1']","['1', '4']",[],[],1.89
21.06.,Bertrand R.,2,,,,,,"['4', '3']",[],"['2', '0', '6', '2']",[],[],2.62
21.06.,Dougaz A.,1,,,,,,[],"['3', '1', '5', '1']",[],[],[],1.44
20.06.,Bertrand R.,2,,,,,,[],"['4', '2', '6', '2']","['1', '1', '3', '1', '5', '1', '6', '4']",[],[],2.81
20.06.,Echargui M.,1,,,,,,"['4', '2']",[],"['1', '0', '2', '5', '4', '5']",[],[],1.39
19.06.,Bertrand R.,2,,,,,,"['1', '0', '2', '1']","['1', '0', '3', '0']",[],[],[],1.74
19.06.,Winter E.,0,,,,,,"['1', '1']","['3', '5']",[],[],[],1.97
17.06.,Bertrand R.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '5', '2']",[],[],[],1.30
17.06.,Braithwaite T.,0,,,,,,[],[],[],[],[],3.26
12.06.,Bertrand R.,2,,,,,,"['1', '2', '4', '3', '6', '3']","['5', '3']",[],[],[],1.26
12.06.,Mazdrashki A.,0,,,,,,"['2', '0']",[],[],[],[],3.54
11.06.,Bertrand R.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.06
11.06.,Gaztambide Arrastia I.,0,,,,,,[],[],[],[],[],7.30
06.06.,Echargui M.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],1.56
06.06.,Bertrand R.,0,,,,,,[],[],[],[],[],2.30
05.06.,Bertrand R.,2,,,,,,"['3', '2', '5', '2']","['1', '2', '4', '5', '6', '5']",[],[],[],1.34
05.06.,Braithwaite T.,0,,,,,,[],"['2', '0', '5', '3', '6', '6']",[],[],[],3.04
04.06.,Bertrand R.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.03
04.06.,Pilet C.,0,,,,,,[],[],[],[],[],9.30
28.05.,Hussey G.,2,,,,,,5,1,82%,78% (29/37),38% (3/8),50% (2/4),42% (15/36),69% (18/26),55% (6/11),71% (32/45),53% (33/62),61% (65/107),9,0,78% (7/9),60% (6/10),68% (13/19),"['3', '4', '6', '5']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.58
28.05.,Bertrand R.,0,,,,,,1,5,58%,58% (21/36),31% (8/26),45% (5/11),22% (8/37),63% (5/8),50% (2/4),47% (29/62),29% (13/45),39% (42/107),1,0,40% (4/10),22% (2/9),32% (6/19),"['4', '2']","['1', '3']",[],[],[],2.29
20.05.,Rocha H.,2,,,,,,1,5,53%,66% (25/38),56% (19/34),50% (2/4),176 km/h,156 km/h,33% (16/48),73% (19/26),40% (4/10),19,37,86% (6/7),61% (44/72),47% (35/74),54% (79/146),8,0,80% (8/10),40% (4/10),60% (12/20),"['2', '3', '4', '3']","['4', '2', '6', '2']",[],[],[],1.30
20.05.,Bertrand R.,0,,,,,,0,6,65%,67% (32/48),27% (7/26),60% (6/10),169 km/h,147 km/h,34% (13/38),44% (15/34),50% (2/4),14,45,67% (8/12),53% (39/74),39% (28/72),46% (67/146),2,0,60% (6/10),20% (2/10),40% (8/20),"['3', '1', '5', '5']",[],[],[],[],3.54
12.05.,Royer V.,2,,,,,,2,4,62%,63% (26/41),52% (13/25),50% (2/4),43% (13/30),63% (22/35),31% (5/16),59% (39/66),54% (35/65),56% (74/131),6,0,78% (7/9),63% (5/8),71% (12/17),"['3', '1', '4', '2']","['1', '0', '4', '1', '5', '2']",[],[],[],1.04
12.05.,Bertrand R.,0,,,,,,1,4,46%,57% (17/30),37% (13/35),69% (11/16),37% (15/41),48% (12/25),50% (2/4),46% (30/65),41% (27/66),44% (57/131),4,3,38% (3/8),22% (2/9),29% (5/17),"['2', '3']","['2', '4']",[],[],[],8.60
09.05.,Topo M.,2,,,,,,"['1', '1', '3', '1', '5', '1', '6', '2']","['1', '1', '3', '1']",[],[],[],1.35
09.05.,Bertrand R.,0,,,,,,"['1', '0', '2', '5']","['1', '0']",[],[],[],2.99
08.05.,Bertrand R.,2,,,,,,[],"['1', '0', '4', '1']","['2', '1', '5', '2', '6', '3']",[],[],1.31
08.05.,Mashtakov N.,1,,,,,,"['2', '0', '6', '2']","['3', '5']","['3', '5']",[],[],3.20
23.04.,Bakshi A.,2,,,,,,7,3,66%,77% (33/43),55% (12/22),67% (2/3),38% (15/40),48% (13/27),23% (3/13),69% (45/65),42% (28/67),55% (73/132),7,0,91% (10/11),30% (3/10),62% (13/21),"['5', '3']","['2', '1', '6', '5']",[],[],[],3.26
23.04.,Bertrand R.,0,,,,,,3,2,60%,63% (25/40),52% (14/27),77% (10/13),23% (10/43),45% (10/22),33% (1/3),58% (39/67),31% (20/65),45% (59/132),3,0,70% (7/10),9% (1/11),38% (8/21),[],"['4', '4']",[],[],[],1.31
21.04.,Bertrand R.,2,,,,,,3,3,47%,68% (19/28),52% (16/31),67% (4/6),40% (6/15),81% (21/26),60% (6/10),59% (35/59),66% (27/41),62% (62/100),7,0,75% (6/8),86% (6/7),80% (12/15),"['2', '2', '3', '3', '5', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],1.29
21.04.,Ursu V.,0,,,,,,2,7,37%,60% (9/15),19% (5/26),40% (4/10),32% (9/28),48% (15/31),33% (2/6),34% (14/41),41% (24/59),38% (38/100),3,3,14% (1/7),25% (2/8),20% (3/15),"['1', '0', '3', '2']",[],[],[],[],3.39
