Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
03.08.,Vanshelboim E.,2,,,,,,0,3,73%,59% (41/70),50% (13/26),64% (9/14),43% (28/65),54% (20/37),42% (5/12),17,32,74% (14/19),56% (54/96),47% (48/102),52% (102/198),6,0,58% (7/12),42% (5/12),50% (12/24),"['3', '5', '5', '5']","['1', '2', '4', '5', '6', '5']",[],[],[],1.85
03.08.,Miletich I.,0,,,,,,3,4,64%,57% (37/65),46% (17/37),58% (7/12),41% (29/70),50% (13/26),36% (5/14),29,56,66% (25/38),53% (54/102),44% (42/96),48% (96/198),4,3,58% (7/12),42% (5/12),50% (12/24),"['3', '2', '5', '2']","['2', '0', '5', '3', '6', '6']",[],[],[],1.87
24.07.,Sanchez Izquierdo N.,2,,,,,,[],"['4', '4', '6', '4']","['3', '1', '6', '2']",[],[],1.19
17.06.,Pampanin P.,1,,,,,,"['1', '0']","['4', '3']",[],[],[],3.26
10.06.,Catini N.,2,,,,,,"['5', '3']","['2', '1']",[],[],[],2.28
10.06.,Miletich I.,0,,,,,,[],[],[],[],[],1.57
29.05.,Gulin S.,2,,,,,,"['4', '4', '7', '5']","['4', '2']",[],[],[],1.11
29.05.,Miletich I.,0,,,,,,"['2', '1']",[],[],[],[],5.45
28.05.,Miletich I.,2,,,,,,"['2', '1', '4', '1']","['3', '2']",[],[],[],1.23
28.05.,Graca J.,0,,,,,,[],[],[],[],[],3.81
20.05.,Preda L.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '1', '3', '2', '5', '2']",[],[],[],1.49
20.05.,Miletich I.,0,,,,,,[],"['1', '1', '2', '2']",[],[],[],2.47
13.05.,Preda L.,2,,,,,,"['1', '0', '5', '2']",[],"['4', '4', '5', '5', '6', '6']",[],[],1.42
13.05.,Miletich I.,1,,,,,,[],"['2', '0']","['2', '1', '5', '4', '6', '5']",[],[],2.69
24.04.,Gea A.,2,,,,,,"['2', '0', '5', '1']","['3', '2', '5', '2']",[],[],[],1.22
24.04.,Miletich I.,0,,,,,,[],[],[],[],[],3.91
22.04.,Miletich I.,2,,,,,,"['3', '2', '4', '5', '6', '5']","['1', '0', '4', '1']",[],[],[],3.14
22.04.,Weis A.,0,,,,,,"['2', '0', '3', '3', '5', '3']",[],[],[],[],1.32
08.04.,Preda L.,2,,,,,,"['3', '2', '6', '3']","['2', '4']","['2', '0']",[],[],1.64
08.04.,Miletich I.,1,,,,,,[],"['1', '0', '3', '0', '5', '2']",[],[],[],2.15
01.04.,Ferrari G.,2,,,,,,"['2', '1', '4', '3', '6', '3']","['1', '1', '3', '1']",[],[],[],1.57
01.04.,Miletich I.,0,,,,,,"['3', '3']","['1', '0']",[],[],[],2.28
29.03.,Miletich I.,2,,,,,,"['4', '3']","['3', '2', '6', '3']",[],[],[],2.03
29.03.,La Vela G.,0,,,,,,[],[],[],[],[],1.70
28.03.,Miletich I.,2,,,,,,"['1', '0', '5', '2']","['2', '1', '6', '3']",[],[],[],3.46
28.03.,Mazza M.,0,,,,,,[],[],[],[],[],1.27
27.03.,Miletich I.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '4', '2', '6', '2']",[],[],[],1.28
27.03.,Brigida O.,0,,,,,,[],"['1', '2']",[],[],[],3.40
25.03.,Miletich I.,2,,,,,,"['2', '1', '3', '2', '5', '2']","['1', '0', '5', '2']",[],[],[],1.19
25.03.,Tresca G.,0,,,,,,"['2', '2']",[],[],[],[],4.28
26.02.,Echeverria J.,2,,,,,,"['1', '0', '2', '1', '4', '1', '6', '1']","['2', '0', '6', '4']",[],[],[],1.14
26.02.,Miletich I.,0,,,,,,"['1', '1']","['3', '4']",[],[],[],4.95
19.02.,Barreto Sanchez D. A.,2,,,,,,"['4', '2', '5', '3']","['4', '3', '6', '3']",[],[],[],-
19.02.,Miletich I.,0,,,,,,"['3', '4']",[],[],[],[],-
11.02.,Santamarta Roig A.,2,,,,,,"['2', '0', '4', '0', '5', '1', '7', '5']","['3', '1', '4', '2', '5', '3']",[],[],[],1.44
11.02.,Miletich I.,0,,,,,,"['1', '4', '2', '5', '4', '5']","['2', '3', '3', '4']",[],[],[],2.62
06.12.2024,De Krom M.,2,,,,,,"['1', '0', '4', '1', '5', '2', '6', '3']","['2', '0', '3', '1', '4', '2', '5', '3', '6', '4']",[],[],[],1.26
06.12.2024,Miletich I.,0,,,,,,"['2', '4', '3', '5']","['1', '2', '2', '3', '3', '4', '4', '5']",[],[],[],3.54
05.12.2024,Miletich I.,1,,,,,,"['2', '3']","['1', '0', '2', '3', '5', '4']",[],[],[],3.54
05.12.2024,Chazal M.,1,,,,,,"['3', '1', '4', '2', '6', '2']","['1', '1', '3', '1']",[],[],[],1.26
04.12.2024,Miletich I.,2,,,,,,"['1', '0']","['2', '2', '3', '3', '5', '5', '7', '5']",[],[],[],5.21
04.12.2024,Cesar Porras J.,0,,,,,,"['4', '4']","['1', '0', '3', '2', '4', '3']",[],[],[],1.13
15.11.2024,Martin Tiffon P.,2,,,,,,"['2', '0', '6', '2']","['1', '1', '5', '5', '7', '5']",[],[],[],1.03
15.11.2024,Miletich I.,0,,,,,,[],"['1', '0', '5', '4']",[],[],[],9.60
14.11.2024,Miletich I.,2,,,,,,"['3', '2', '5', '2']","['1', '2', '4', '3', '6', '3']",[],[],[],1.37
14.11.2024,Pujol Navarro B.,0,,,,,,[],"['2', '0']",[],[],[],2.99
23.10.2024,Rincon D.,2,,,,,,"['2', '0', '4', '0', '6', '2']","['2', '0', '3', '1', '5', '1']",[],[],[],1.08
23.10.2024,Miletich I.,0,,,,,,"['1', '4']","['1', '2']",[],[],[],6.82
22.10.2024,Miletich I.,2,,,,,,"['2', '1']","['2', '2', '3', '3', '5', '5']","['4', '3']",[],[],1.28
22.10.2024,Spiridon D. C.,1,,,,,,"['3', '3']","['2', '1', '3', '2', '5', '4']",[],[],[],3.40
17.10.2024,Martin A.,2,,,,,,"['1', '0', '4', '3']","['2', '1', '6', '5']",[],[],[],1.06
17.10.2024,Miletich I.,0,,,,,,"['1', '1']","['2', '2', '6', '6']",[],[],[],7.75
16.10.2024,Miletich I.,2,,,,,,"['1', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],-
16.10.2024,Milev Y.,0,,,,,,[],[],[],[],[],-
