Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.05.,Jacquemot E.,2,,,,,,2,3,67%,69% (43/62),23% (7/30),44% (4/9),43% (27/63),67% (16/24),50% (6/12),54% (50/92),49% (43/87),52% (93/179),5,0,62% (8/13),50% (7/14),56% (15/27),"['1', '2', '2', '3']","['2', '0', '4', '2']","['2', '1', '5', '2', '6', '3']",[],[],2.04
13.05.,Yuan Y.,1,,,,,,1,0,72%,57% (36/63),33% (8/24),50% (6/12),31% (19/62),77% (23/30),56% (5/9),51% (44/87),46% (42/92),48% (86/179),5,1,50% (7/14),38% (5/13),44% (12/27),"['2', '0', '3', '1', '4', '2']","['2', '3']","['3', '5']",[],[],1.78
05.05.,Ruzic A.,2,,,,,,0,2,61%,55% (21/38),50% (12/24),33% (2/6),53% (24/45),69% (9/13),46% (6/13),53% (33/62),57% (33/58),55% (66/120),8,0,60% (6/10),67% (6/9),63% (12/19),"['2', '0', '3', '1', '5', '1']","['1', '0', '4', '1', '5', '4']",[],[],[],2.56
05.05.,Yuan Y.,0,,,,,,0,0,78%,47% (21/45),31% (4/13),54% (7/13),45% (17/38),50% (12/24),67% (4/6),43% (25/58),47% (29/62),45% (54/120),2,0,33% (3/9),40% (4/10),37% (7/19),"['1', '2', '2', '5']","['2', '4', '4', '4']",[],[],[],1.47
27.04.,Yuan Y.,2,,,,,,"['3', '5']","['6', '4']","['2', '0', '4', '0', '6', '2']",[],[],2.44
27.04.,Minnen G.,1,,,,,,"['2', '1', '4', '1']",[],"['1', '4']",[],[],1.50
26.04.,Yuan Y.,2,,,,,,"['4', '4']","['3', '1', '5', '1']","['1', '0', '2', '3', '4', '3', '5', '4']",[],[],1.70
26.04.,Semenistaja D.,1,,,,,,"['2', '1', '5', '4']",[],"['1', '1', '3', '1', '4', '4', '5', '5']",[],[],2.03
25.04.,Yuan Y.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '2', '3', '4', '3', '6', '3']",[],[],[],2.32
25.04.,Kraus S.,0,,,,,,[],"['1', '1', '3', '1']",[],[],[],1.55
24.04.,Yuan Y.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],1.43
24.04.,Maleckova J.,0,,,,,,[],[],[],[],[],2.66
23.04.,Yuan Y.,2,,,,,,"['3', '1', '5', '1', '6', '2']","['2', '0', '4', '0', '6', '2']",[],[],[],1.13
23.04.,Tran L.,0,,,,,,"['2', '5']","['2', '5']",[],[],[],5.10
17.04.,Jimenez Kasintseva V.,2,,,,,,2,5,64%,69% (49/71),55% (22/40),63% (5/8),34% (19/56),39% (11/28),60% (3/5),65% (72/111),36% (30/83),53% (102/194),7,0,81% (13/16),20% (3/15),52% (16/31),"['2', '2']","['4', '2']","['4', '3']",[],[],1.56
17.04.,Yuan Y.,1,,,,,,1,0,67%,66% (37/56),61% (17/28),40% (2/5),30% (21/71),43% (17/40),38% (3/8),64% (53/83),35% (39/111),47% (92/194),3,2,80% (12/15),19% (3/16),48% (15/31),"['2', '1', '4', '3']",[],"['4', '4']",[],[],2.22
18.03.,Siniakova K.,2,,,,,,3,1,61%,67% (36/54),44% (15/34),33% (3/9),42% (24/57),57% (21/37),55% (6/11),57% (51/89),48% (45/93),53% (96/182),7,0,57% (8/14),43% (6/14),50% (14/28),"['2', '1', '5', '2']",[],"['1', '0', '3', '0', '4', '3', '5', '4']",[],[],1.31
18.03.,Yuan Y.,1,,,,,,4,4,61%,58% (33/57),43% (16/37),45% (5/11),33% (18/54),56% (19/34),67% (6/9),52% (48/93),43% (38/89),47% (86/182),3,1,57% (8/14),43% (6/14),50% (14/28),[],"['2', '0', '6', '2']","['1', '3', '3', '3', '4', '4', '5', '5']",[],[],3.53
06.03.,Yastremska D.,2,,,,,,1,4,43%,70% (19/27),56% (20/36),67% (4/6),33% (10/30),70% (19/27),50% (5/10),62% (39/63),50% (29/58),56% (68/121),7,0,78% (7/9),56% (5/9),67% (12/18),"['4', '2', '6', '2']","['2', '2', '4', '4', '6', '4']",[],[],[],1.50
06.03.,Yuan Y.,0,,,,,,0,1,53%,70% (21/30),30% (8/27),50% (5/10),30% (8/27),44% (16/36),33% (2/6),50% (29/58),38% (24/63),44% (53/121),3,0,44% (4/9),22% (2/9),33% (6/18),[],"['2', '1', '3', '2']",[],[],[],2.63
25.02.,Birrell K.,2,,,,,,2,9,59%,62% (33/53),46% (17/37),62% (8/13),31% (14/45),58% (25/43),56% (5/9),56% (50/90),44% (39/88),50% (89/178),7,0,58% (7/12),42% (5/12),50% (12/24),"['2', '0', '4', '2']","['2', '3', '4', '3', '6', '5']",[],[],[],2.02
25.02.,Yuan Y.,0,,,,,,8,4,51%,69% (31/45),42% (18/43),44% (4/9),38% (20/53),54% (20/37),38% (5/13),56% (49/88),44% (40/90),50% (89/178),3,0,58% (7/12),42% (5/12),50% (12/24),"['1', '2', '4', '5']","['2', '0', '4', '4', '6', '6']",[],[],[],1.82
15.02.,Begu I.,2,,,,,,3,5,60%,68% (32/47),52% (16/31),78% (7/9),44% (19/43),40% (10/25),57% (4/7),62% (48/78),43% (29/68),53% (77/146),6,0,82% (9/11),36% (4/11),59% (13/22),"['3', '4', '6', '5']","['2', '3', '4', '3']",[],[],[],2.42
15.02.,Yuan Y.,0,,,,,,1,0,63%,56% (24/43),60% (15/25),43% (3/7),32% (15/47),48% (15/31),22% (2/9),57% (39/68),38% (30/78),47% (69/146),4,0,64% (7/11),18% (2/11),41% (9/22),"['3', '1']","['2', '0']",[],[],[],1.57
14.02.,Yuan Y.,2,,,,,,0,2,68%,70% (30/43),50% (10/20),100% (3/3),50% (16/32),46% (6/13),67% (4/6),63% (40/63),49% (22/45),57% (62/108),7,0,100% (8/8),50% (4/8),75% (12/16),"['4', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.72
14.02.,Bucsa C.,0,,,,,,2,1,71%,50% (16/32),54% (7/13),33% (2/6),30% (13/43),50% (10/20),0% (0/3),51% (23/45),37% (23/63),43% (46/108),3,2,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.03
09.02.,Garcia C.,2,,,,,,3,1,57%,74% (31/42),56% (18/32),88% (7/8),35% (13/37),62% (16/26),43% (3/7),66% (49/74),46% (29/63),57% (78/137),6,0,90% (9/10),33% (3/9),63% (12/19),"['2', '0', '4', '0']","['2', '1']",[],[],[],2.02
09.02.,Yuan Y.,0,,,,,,0,3,59%,65% (24/37),38% (10/26),57% (4/7),26% (11/42),44% (14/32),13% (1/8),54% (34/63),34% (25/74),43% (59/137),4,0,67% (6/9),10% (1/10),37% (7/19),[],"['5', '5']",[],[],[],1.82
03.02.,Sonobe W.,2,,,,,,5,1,62%,81% (25/31),63% (12/19),50% (1/2),40% (21/52),57% (20/35),27% (4/15),74% (37/50),47% (41/87),57% (78/137),8,0,89% (8/9),40% (4/10),63% (12/19),"['2', '1']","['2', '3', '4', '3', '6', '3']",[],[],[],2.40
03.02.,Yuan Y.,0,,,,,,1,0,60%,60% (31/52),43% (15/35),73% (11/15),19% (6/31),37% (7/19),50% (1/2),53% (46/87),26% (13/50),43% (59/137),2,0,60% (6/10),11% (1/9),37% (7/19),[],"['2', '0']",[],[],[],1.59
13.01.,Pavlyuchenkova A.,2,,,,,,6,3,67%,64% (37/58),46% (13/28),29% (2/7),47% (29/62),46% (16/35),40% (6/15),54,42,71% (12/17),58% (50/86),46% (45/97),52% (95/183),7,0,67% (10/15),43% (6/14),55% (16/29),"['6', '4']","['2', '4', '4', '4']","['2', '2', '4', '2', '5', '3']",[],[],1.63
