Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
24.08.,Cuenin S.,2,,,,,,[],"['2', '0', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],3.54
11.06.,Bielinskyi V.,2,,,,,,"['1', '0', '2', '1', '4', '3', '6', '3']","['3', '1', '6', '2']",[],[],[],1.01
11.06.,Toto N.,0,,,,,,"['1', '1', '2', '2']",[],[],[],[],10.50
28.05.,Bieldiugin T.,2,,,,,,"['2', '3', '4', '3', '5', '4', '6', '5']","['2', '0', '5', '5', '6', '6']",[],[],[],8.50
28.05.,Bielinskyi V.,0,,,,,,"['2', '0', '4', '4', '5', '5', '6', '6']","['1', '2', '4', '3', '6', '5']",[],[],[],1.04
25.05.,Obradovic D.,2,,,,,,"['1', '1', '2', '4', '4', '4', '7', '5']","['2', '4']","['1', '0', '3', '0', '5', '2']",[],[],5.02
25.05.,Bielinskyi V.,1,,,,,,"['1', '0', '2', '1', '4', '1']","['2', '1', '4', '1', '6', '3']","['2', '4']",[],[],1.15
24.05.,Bielinskyi V.,2,,,,,,"['2', '3', '4', '3']","['4', '3', '5', '4']",[],[],[],1.25
24.05.,Berkieta T.,0,,,,,,"['3', '1']","['4', '4']",[],[],[],3.62
23.05.,Bielinskyi V.,2,,,,,,"['3', '4', '6', '5']","['1', '2', '3', '2', '5', '2']",[],[],[],1.17
23.05.,Raynel A.,0,,,,,,"['4', '2']","['2', '0']",[],[],[],4.48
22.05.,Bielinskyi V.,1,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0']",[],[],[],1.11
22.05.,Hopp M.,0,,,,,,[],[],[],[],[],5.45
21.05.,Bielinskyi V.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],-
21.05.,Radojicic A.,0,,,,,,[],[],[],[],[],12.00
18.05.,Bielinskyi V.,2,,,,,,"['1', '1', '3', '1', '6', '6']","['1', '0', '4', '1']",[],[],[],1.22
18.05.,Loge J.,0,,,,,,"['1', '0', '2', '3', '6', '5']",[],[],[],[],3.91
17.05.,Bielinskyi V.,2,,,,,,"['2', '0', '6', '2']","['2', '2', '4', '2', '6', '2']",[],[],[],1.19
17.05.,Obradovic D.,0,,,,,,[],"['1', '0']",[],[],[],4.24
16.05.,Bielinskyi V.,2,,,,,,"['1', '2', '4', '3', '6', '3']","['2', '0', '5', '1']",[],[],[],1.05
16.05.,Kovac T.,0,,,,,,"['2', '0']",[],[],[],[],8.00
15.05.,Bielinskyi V.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '4', '1']",[],[],[],1.02
15.05.,Guarducci F.,0,,,,,,[],[],[],[],[],9.50
14.05.,Bielinskyi V.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0']",[],[],[],1.14
14.05.,Noce G. M.,0,,,,,,[],[],[],[],[],4.90
23.04.,Bielinskyi V.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.03
23.04.,Arinc K.,0,,,,,,[],[],[],[],[],8.80
19.04.,Molcan A.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['3', '1', '6', '2']",[],[],[],1.59
19.04.,Bielinskyi V.,0,,,,,,"['1', '0']",[],[],[],[],2.24
18.04.,Bielinskyi V.,2,,,,,,"['1', '0', '4', '3', '6', '3']","['1', '1', '3', '1', '6', '2']",[],[],[],2.10
18.04.,Kopp S.,0,,,,,,"['1', '1']","['1', '0']",[],[],[],1.67
17.04.,Bielinskyi V.,2,,,,,,"['2', '0', '4', '0', '6', '2']","['2', '0', '4', '0', '5', '1']",[],[],[],1.12
17.04.,Almazan Valiente I.,0,,,,,,"['1', '4']","['1', '4']",[],[],[],5.40
16.04.,Bielinskyi V.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['1', '0', '2', '3']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],1.09
16.04.,Angelini L.,1,,,,,,"['2', '4']","['1', '1', '3', '1', '6', '4']","['1', '5']",[],[],6.15
26.03.,Bielinskyi V.,2,,,,,,"['1', '0', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],-
26.03.,Blokhin N.,0,,,,,,"['3', '3']",[],[],[],[],-
