Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
05.08.,Rapagnetta D.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '5', '2']",[],[],[],-
16.04.2023,Di Nicola G.,0,,,,,,0,1,72%,45% (23/51),45% (9/20),45% (5/11),30% (8/27),59% (13/22),50% (2/4),45% (32/71),43% (21/49),44% (53/120),33% (3/9),25% (2/8),29% (5/17),[],"['1', '0', '4', '5']",[],[],[],4.82
07.09.2022,Serafini M.,2,,,,,,"['1', '3']","['6', '4']","['2', '0', '5', '3']",[],[],1.42
07.09.2022,Di Nicola G.,1,,,,,,"['1', '0', '3', '0', '5', '2']",[],"['2', '3']",[],[],2.75
02.09.2022,Serafini M.,2,,,,,,"['2', '1', '3', '4', '5', '4']","['2', '1', '4', '1']",[],[],[],1.48
02.09.2022,Di Nicola G.,0,,,,,,"['2', '2', '4', '2']",[],[],[],[],2.61
01.09.2022,Di Nicola G.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '3', '1']","['2', '0', '5', '1', '6', '2']",[],[],1.49
01.09.2022,Sciahbasi L.,1,,,,,,[],"['1', '2', '2', '3', '4', '3']","['2', '5']",[],[],2.57
31.08.2022,Di Nicola G.,2,,,,,,"['3', '2', '4', '3', '6', '3']","['2', '2', '4', '4', '5', '5', '6', '6']",[],[],[],3.38
31.08.2022,Gima S.,0,,,,,,"['3', '3']","['1', '0', '3', '2', '5', '4', '6', '5']",[],[],[],1.29
30.08.2022,Di Nicola G.,2,,,,,,"['2', '0', '4', '0', '6', '2']","['1', '1', '3', '1']",[],[],[],1.45
30.08.2022,Gandolfi G.,0,,,,,,"['2', '5']","['1', '0']",[],[],[],2.63
12.07.2022,Pecci A.,2,,,,,,"['1', '1', '5', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],1.55
12.07.2022,Di Nicola G.,0,,,,,,"['1', '0']",[],[],[],[],2.41
15.05.2022,Ricca G.,2,,,,,,10,3,53%,73% (35/48),51% (22/43),75% (6/8),44% (24/55),55% (18/33),42% (5/12),63% (57/91),48% (42/88),55% (99/179),85% (11/13),38% (5/13),62% (16/26),"['4', '2', '6', '2']","['4', '4']","['3', '1', '6', '2']",[],[],2.33
15.05.2022,Di Nicola G.,1,,,,,,1,2,63%,56% (31/55),45% (15/33),58% (7/12),27% (13/48),49% (21/43),25% (2/8),52% (46/88),37% (34/91),45% (80/179),62% (8/13),15% (2/13),38% (10/26),[],"['4', '3', '5', '4']",[],[],[],1.59
24.04.2022,van Assche L.,2,,,,,,4,2,34%,85% (11/13),56% (14/25),0% (0/1),65% (17/26),64% (16/25),54% (7/13),66% (25/38),65% (33/51),65% (58/89),100% (5/5),100% (8/8),100% (13/13),"['1', '0', '3', '0', '5', '0', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.20
24.04.2022,Di Nicola G.,0,,,,,,0,3,51%,35% (9/26),36% (9/25),46% (6/13),15% (2/13),44% (11/25),100% (1/1),35% (18/51),34% (13/38),35% (31/89),0% (0/8),0% (0/5),0% (0/13),"['1', '5']",[],[],[],[],4.40
13.03.2022,Vavassori A.,2,,,,,,5,5,63%,75% (30/40),39% (9/23),60% (3/5),52% (23/44),31% (8/26),63% (5/8),62% (39/63),51% (36/70),56% (75/133),78% (7/9),50% (5/10),63% (12/19),"['1', '3', '5', '5']","['1', '0', '3', '0', '6', '1']",[],[],[],1.20
13.03.2022,Di Nicola G.,0,,,,,,1,5,63%,48% (21/44),50% (13/26),38% (3/8),25% (10/40),39% (9/23),40% (2/5),49% (34/70),38% (24/63),44% (58/133),50% (5/10),22% (2/9),37% (7/19),"['1', '0', '3', '0']",[],[],[],[],4.46
06.03.2022,Ejupovic E.,2,,,,,,5,4,56%,72% (28/39),52% (16/31),67% (4/6),38% (16/42),54% (13/24),80% (4/5),63% (44/70),45% (30/66),54% (74/136),82% (9/11),36% (4/11),59% (13/22),"['3', '1', '6', '4']","['5', '5', '7', '5']",[],[],[],1.30
06.03.2022,Di Nicola G.,0,,,,,,1,1,64%,62% (26/42),42% (10/24),20% (1/5),28% (11/39),35% (11/31),33% (2/6),55% (36/66),37% (26/70),46% (62/136),64% (7/11),18% (2/11),41% (9/22),"['3', '4']","['2', '1']",[],[],[],3.42
21.06.2020,Passaro F.,2,,,,,,"['2', '0', '3', '1', '6', '2']","['4', '2', '6', '2']",[],[],[],-
21.06.2020,Di Nicola G.,0,,,,,,"['1', '2']",[],[],[],[],-
08.10.2019,Balzerani R.,2,,,,,,"['4', '5']","['3', '1', '5', '1', '6', '2']",[],[],[],1.61
08.10.2019,Di Nicola G.,0,,,,,,"['3', '1']","['2', '5']",[],[],[],2.27
04.10.2019,Serdarusic N.,2,,,,,,[],"['2', '0', '4', '0']","['2', '1', '3', '2', '4', '3']",[],[],1.33
04.10.2019,Di Nicola G.,1,,,,,,"['4', '3']",[],"['2', '2', '3', '3']",[],[],3.38
03.10.2019,Di Nicola G.,2,,,,,,"['4', '5', '6', '5']",[],"['1', '0', '2', '1', '4', '1', '6', '1']",[],[],1.33
03.10.2019,Ingarao A.,1,,,,,,"['4', '2']","['2', '0', '4', '0', '6', '0']","['1', '1']",[],[],3.22
02.10.2019,Di Nicola G.,2,,,,,,"['2', '3', '4', '3', '6', '5']","['2', '0', '3', '1', '5', '5', '7', '5']",[],[],[],1.40
02.10.2019,Crepaldi E.,0,,,,,,"['3', '1', '4', '4', '6', '6']","['1', '2', '2', '3', '5', '4']",[],[],[],2.88
21.09.2019,Gerch L.,2,,,,,,"['1', '0', '5', '2']",[],"['2', '1', '5', '2']",[],[],1.79
21.09.2019,Di Nicola G.,1,,,,,,[],"['3', '1', '6', '2']",[],[],[],2.04
20.09.2019,Di Nicola G.,2,,,,,,"['3', '2']","['2', '1', '6', '3']",[],[],[],1.92
20.09.2019,Bortolotti M.,0,,,,,,[],[],[],[],[],1.89
19.09.2019,Di Nicola G.,2,,,,,,"['3', '1', '5', '3']","['3', '4', '5', '4']",[],[],[],1.94
19.09.2019,Ejupovic E.,0,,,,,,"['3', '4']","['3', '1']",[],[],[],1.83
18.09.2019,Di Nicola G.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['2', '3', '4', '3']","['1', '0', '2', '1', '5', '2']",[],[],1.27
18.09.2019,Ingarao A.,1,,,,,,"['2', '4']","['3', '1', '4', '4', '6', '4']","['1', '1']",[],[],3.64
29.08.2019,Escoffier A.,2,,,,,,"['4', '2', '6', '4']",[],[],[],[],1.26
29.08.2019,Di Nicola G.,0,,,,,,"['3', '4']",[],[],[],[],3.72
28.08.2019,Di Nicola G.,2,,,,,,"['2', '3']","['3', '4', '6', '5']","['1', '0', '3', '0']",[],[],1.61
28.08.2019,Capecchi D.,1,,,,,,"['3', '1', '6', '4']","['2', '0']",[],[],[],2.28
20.08.2019,Cerundolo F.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '4', '3']","['3', '1']",[],[],1.13
20.08.2019,Di Nicola G.,1,,,,,,"['3', '5', '5', '5', '7', '5']","['2', '2', '4', '4']",[],[],[],5.80
19.08.2019,Di Nicola G.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '1', '6', '2']",[],[],[],1.18
19.08.2019,Pancaldi L.,0,,,,,,[],[],[],[],[],4.52
06.08.2019,Galoppini D.,2,,,,,,"['1', '1', '5', '3']","['1', '0', '6', '3']",[],[],[],2.09
06.08.2019,Di Nicola G.,0,,,,,,"['1', '0', '4', '5']",[],[],[],[],1.72
02.08.2019,Balzerani R.,2,,,,,,"['1', '2', '4', '5']","['4', '3']","['1', '0', '3', '0']",[],[],2.10
02.08.2019,Di Nicola G.,1,,,,,,"['2', '0', '5', '3', '6', '4']",[],[],[],[],1.80
01.08.2019,Di Nicola G.,2,,,,,,[],"['2', '0', '5', '1']","['3', '2']",[],[],4.40
01.08.2019,Forti F.,1,,,,,,"['3', '1', '5', '1']",[],[],[],[],1.24
31.07.2019,Di Nicola G.,2,,,,,,"['5', '4']","['1', '0', '4', '3']",[],[],[],1.09
31.07.2019,Tortora D.,0,,,,,,[],"['1', '1']",[],[],[],8.70
26.07.2019,Basso A.,2,,,,,,"['5', '3', '6', '4']","['2', '0', '4', '0']",[],[],[],1.32
26.07.2019,Di Nicola G.,0,,,,,,"['4', '5']",[],[],[],[],3.42
25.07.2019,Di Nicola G.,2,,,,,,"['3', '1', '6', '2']","['6', '4']",[],[],[],1.26
25.07.2019,Arnaboldi F.,0,,,,,,[],[],[],[],[],3.74
