Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Antofagasta (Chile),clay,header
13.04. 14:35,Lavagno E.,0,4,2,,,,0,4,64%,58% (21/36),60% (12/20),63% (5/8),26% (10/39),31% (4/13),0% (0/3),4,59% (33/56),27% (14/52),44% (47/108),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.68
13.04. 14:35,Fatic N.,2,6,6,,,,1,0,75%,74% (29/39),69% (9/13),100% (3/3),42% (15/36),40% (8/20),38% (3/8),4,73% (38/52),41% (23/56),56% (61/108),3,100% (9/9),33% (3/9),67% (12/18),"['3', '2']","['1', '0', '5', '2']",[],[],[],1.48
CHALLENGER MEN - SINGLES :  Naples 3 (Italy) - Qualification,clay,header
25.03. 14:35,Lavagno E.,0,1,,,,,0,0,77%,35% (6/17),80% (4/5),50% (2/4),38% (3/8),25% (1/4),0% (0/0),3,45% (10/22),33% (4/12),41% (14/34),1,33% (1/3),0% (0/2),20% (1/5),[],[],[],[],[],2.76
25.03. 14:35,Vincent Ruggeri S.,0,4,,,,,0,1,67%,63% (5/8),75% (3/4),0% (0/0),65% (11/17),20% (1/5),50% (2/4),3,67% (8/12),55% (12/22),59% (20/34),4,100% (2/2),67% (2/3),80% (4/5),"['2', '1', '4', '1']",[],[],[],[],1.42
24.03. 14:40,Lavagno E.,2,6,6,,,,1,1,50%,88% (14/16),69% (11/16),100% (1/1),57% (16/28),81% (13/16),67% (6/9),8,78% (25/32),66% (29/44),71% (54/76),12,100% (6/6),100% (6/6),100% (12/12),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.04
24.03. 14:40,Manola P.,0,0,0,,,,0,2,64%,43% (12/28),19% (3/16),33% (3/9),13% (2/16),31% (5/16),0% (0/1),3,34% (15/44),22% (7/32),29% (22/76),0,0% (0/6),0% (0/6),0% (0/12),[],[],[],[],[],7.85
CHALLENGER MEN - SINGLES :  Santiago (Chile),clay,header
13.03. 00:20,Lavagno E.,0,3,1,,,,0,2,65%,42% (15/36),47% (9/19),44% (4/9),26% (9/35),50% (4/8),33% (1/3),6,44% (24/55),30% (13/43),38% (37/98),2,38% (3/8),13% (1/8),25% (4/16),"['2', '0']",[],[],[],[],2.20
13.03. 00:20,Collarini A.,2,6,6,,,,2,1,81%,74% (26/35),50% (4/8),67% (2/3),58% (21/36),53% (10/19),56% (5/9),8,70% (30/43),56% (31/55),62% (61/98),5,88% (7/8),63% (5/8),75% (12/16),"['1', '2', '4', '3', '6', '3']","['3', '1', '5', '1']",[],[],[],1.64
CHALLENGER MEN - SINGLES :  Santa Cruz (Bolivia),clay,header
05.03. 04:50,Lavagno E.,0,2,2,,,,0,2,52%,71% (17/24),36% (8/22),43% (3/7),24% (8/34),37% (7/19),0% (0/2),6,54% (25/46),28% (15/53),40% (40/99),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],6.17
05.03. 04:50,Monteiro T.,2,6,6,,,,10,1,64%,76% (26/34),63% (12/19),100% (2/2),29% (7/24),64% (14/22),57% (4/7),8,72% (38/53),46% (21/46),60% (59/99),7,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '5', '2']","['1', '0', '3', '0']",[],[],[],1.10
ATP - SINGLES :  Santiago (Chile) - Qualification,clay,header
24.02. 23:30,Lavagno E.,1,3,7^7,3,,,2,6,62%,63% (47/75),47% (24/51),60% (3/5),25% (13/53),43% (18/42),0% (0/4),6,49% (22/45),35% (15/43),42% (37/88),3,67% (4/6),0% (0/7),31% (4/13),[],"['3', '3']","['2', '1']",[],[],4.06
24.02. 23:30,Bagnis F.,2,6,6^3,6,,,9,5,54%,75% (40/53),57% (24/42),100% (4/4),37% (28/75),53% (27/51),40% (2/5),6,65% (28/43),51% (23/45),58% (51/88),5,100% (7/7),33% (2/6),69% (9/13),"['4', '2']","['1', '0']","['3', '3', '5', '3']",[],[],1.22
CHALLENGER MEN - SINGLES :  Piracicaba (Brazil),clay,header
01.02. 18:40,Lavagno E.,0,1,3,,,,1,5,67%,59% (23/39),32% (6/19),20% (1/5),9% (2/22),41% (12/29),0% (0/1),4,50% (29/58),27% (14/51),39% (43/109),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.92
01.02. 18:40,Pucinelli de Almeida M.,2,6,6,,,,3,4,43%,91% (20/22),59% (17/29),100% (1/1),41% (16/39),68% (13/19),80% (4/5),10,73% (37/51),50% (29/58),61% (66/109),7,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '4', '1', '6', '1']","['3', '1']",[],[],[],1.82
31.01. 02:30,Lavagno E.,2,6,6^0,6,,,0,9,58%,63% (40/64),46% (21/46),81% (17/21),39% (26/67),68% (32/47),36% (8/22),8,55% (61/110),49% (54/110),54% (118/220),4,71% (10/14),57% (8/14),64% (18/28),"['1', '1', '4', '2', '6', '2']","['1', '1', '5', '5']","['1', '0', '3', '2', '5', '2']",[],[],1.46
31.01. 02:30,Barrena A.,1,2,7^7,2,,,7,4,59%,66% (44/67),32% (15/47),64% (14/22),38% (24/64),54% (25/46),19% (4/21),12,51% (56/110),45% (49/110),48% (105/220),3,43% (6/14),29% (4/14),36% (10/28),"['1', '0']","['1', '0', '3', '2']","['2', '2']",[],[],2.62
CHALLENGER MEN - SINGLES :  Buenos Aires 3 (Argentina),clay,header
CHALLENGER MEN - SINGLES :  Buenos Aires (Argentina),clay,header
09.01. 20:25,Lavagno E.,1,6,3,6^4,,,2,5,58%,65% (39/60),48% (21/44),55% (6/11),35% (23/65),42% (11/26),50% (4/8),6,58% (60/104),37% (34/91),48% (94/195),7,69% (11/16),27% (4/15),48% (15/31),"['4', '4', '6', '4']","['2', '0']","['1', '0']",[],[],1.80
09.01. 20:25,Reis Da Silva J.,2,4,6,7^7,,,6,1,71%,65% (42/65),58% (15/26),50% (4/8),35% (21/60),52% (23/44),45% (5/11),11,63% (57/91),42% (44/104),52% (101/195),6,73% (11/15),31% (5/16),52% (16/31),"['3', '2']","['2', '3', '4', '3', '6', '3']","['2', '2']",[],[],1.94
CHALLENGER MEN - SINGLES :  Maspalomas (Spain),clay,header
27.11.2023,Lavagno E.,0,5,6^4,,,,2,2,79%,61% (38/62),75% (12/16),50% (3/6),27% (12/45),47% (16/34),29% (2/7),8,64% (50/78),35% (28/79),50% (78/157),3,75% (9/12),17% (2/12),46% (11/24),"['3', '1']","['2', '2']",[],[],[],1.45
27.11.2023,Gakhov I.,2,7,7^7,,,,7,3,57%,73% (33/45),53% (18/34),71% (5/7),39% (24/62),25% (4/16),50% (3/6),7,65% (51/79),36% (28/78),50% (79/157),5,83% (10/12),25% (3/12),54% (13/24),"['2', '3', '6', '5']","['1', '0']",[],[],[],2.63
CHALLENGER MEN - SINGLES :  Montevideo (Uruguay),clay,header
17.11.2023,Lavagno E.,0,1,2,,,,0,1,62%,48% (14/29),33% (6/18),29% (2/7),31% (9/29),35% (7/20),33% (1/3),5,43% (20/47),33% (16/49),38% (36/96),1,29% (2/7),13% (1/8),20% (3/15),"['1', '0']",[],[],[],[],2.82
17.11.2023,Bagnis F.,2,6,6,,,,1,1,59%,69% (20/29),65% (13/20),67% (2/3),52% (15/29),67% (12/18),71% (5/7),6,67% (33/49),57% (27/47),63% (60/96),8,88% (7/8),71% (5/7),80% (12/15),"['1', '1', '3', '1', '5', '1']","['1', '0', '5', '2']",[],[],[],1.40
15.11.2023,Lavagno E.,1,6,,,,,0,0,68%,87% (13/15),57% (4/7),0% (0/0),58% (7/12),60% (3/5),67% (2/3),6,77% (17/22),59% (10/17),69% (27/39),5,100% (4/4),67% (2/3),86% (6/7),"['2', '0', '4', '0']",[],[],[],[],3.56
15.11.2023,Comesana F.,0,1,,,,,0,1,71%,42% (5/12),40% (2/5),33% (1/3),13% (2/15),43% (3/7),0% (0/0),2,41% (7/17),23% (5/22),31% (12/39),1,33% (1/3),0% (0/4),14% (1/7),[],[],[],[],[],1.27
CHALLENGER MEN - SINGLES :  Lima 2 (Peru),clay,header
09.11.2023,Lavagno E.,0,3,0,,,,0,0,85%,33% (13/40),0% (0/7),11% (1/9),44% (11/25),36% (4/11),75% (3/4),3,28% (13/47),42% (15/36),34% (28/83),1,0% (0/8),43% (3/7),20% (3/15),"['1', '1', '2', '2', '3', '3']",[],[],[],[],2.34
09.11.2023,Burruchaga R. A.,2,6,6,,,,0,0,69%,56% (14/25),64% (7/11),25% (1/4),68% (27/40),100% (7/7),89% (8/9),9,58% (21/36),72% (34/47),66% (55/83),9,57% (4/7),100% (8/8),80% (12/15),"['1', '0', '2', '1', '3', '2', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.56
07.11.2023,Lavagno E.,2,6,2,6,,,0,2,76%,60% (49/81),42% (11/26),73% (11/15),34% (21/62),50% (12/24),29% (4/14),5,56% (60/107),38% (33/86),48% (93/193),3,71% (10/14),31% (4/13),52% (14/27),"['2', '2', '5', '3', '6', '4']",[],"['5', '3']",[],[],3.00
07.11.2023,Barrios Vera T.,1,4,6,3,,,0,0,72%,66% (41/62),50% (12/24),71% (10/14),40% (32/81),58% (15/26),27% (4/15),7,62% (53/86),44% (47/107),52% (100/193),3,69% (9/13),29% (4/14),48% (13/27),"['2', '1', '4', '5']","['2', '1', '5', '2']",[],[],[],1.36
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 10 (Italy),clay,header
20.10.2023,Lavagno E.,1,2,6,3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0']","['1', '0']",[],[],[],2.48
20.10.2023,Roca Batalla O.,2,6,4,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '1', '3', '1', '6', '2']",[],"['2', '0']",[],[],1.49
19.10.2023,Lavagno E.,2,7,4,7^10,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '2', '4', '2', '5', '5', '7', '5']","['2', '0']","['1', '1', '2', '2', '3', '3', '4', '4']",[],[],1.78
19.10.2023,Sanchez Jover C.,1,5,6,6^8,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '4', '5', '4']","['3', '4', '5', '4']","['1', '0', '2', '1', '3', '2', '4', '3']",[],[],1.93
18.10.2023,Lavagno E.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0', '6', '0']","['2', '2', '4', '4', '6', '4']",[],[],[],1.23
18.10.2023,Tabacco F.,0,0,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '1', '3', '2']",[],[],[],3.83
16.10.2023,Lavagno E.,2,5,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '3']","['5', '3', '6', '4']","['2', '2', '5', '3']",[],[],1.41
16.10.2023,Rosol L.,1,7,4,3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '6', '5']","['4', '5']","['2', '1']",[],[],2.74
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 9 (Italy),clay,header
11.10.2023,Lavagno E.,1,5,6,3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '2', '4', '4']","['2', '2', '4', '2']","['1', '0']",[],[],1.44
11.10.2023,Serafini M.,2,7,3,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '4', '3', '6', '5']","['1', '0']","['2', '2', '5', '3']",[],[],2.63
10.10.2023,Lavagno E.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '5', '1', '6', '2']","['1', '1', '3', '1', '5', '1']",[],[],[],1.03
10.10.2023,Crisostomo G.,0,2,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '5']","['1', '0']",[],[],[],9.60
CHALLENGER MEN - SINGLES :  Lisbon (Portugal),clay,header
04.10.2023,Lavagno E.,1,6,3,2,,,0,2,68%,61% (38/62),48% (14/29),67% (8/12),35% (15/43),43% (15/35),50% (2/4),4,57% (52/91),35% (27/78),47% (79/169),3,69% (9/13),15% (2/13),42% (11/26),"['3', '1']","['1', '2']",[],[],[],2.64
04.10.2023,Bonadio R.,2,3,6,6,,,5,2,55%,72% (31/43),57% (20/35),50% (2/4),39% (24/62),52% (15/29),33% (4/12),8,65% (51/78),43% (39/91),53% (90/169),5,85% (11/13),31% (4/13),58% (15/26),[],"['2', '0', '3', '1']","['3', '2', '5', '2']",[],[],1.45
03.10.2023,Valkusz M.,1,6,6^4,0,,,1,1,63%,66% (31/47),61% (17/28),83% (5/6),30% (16/54),57% (16/28),23% (3/13),6,64% (48/75),39% (32/82),51% (80/157),3,90% (9/10),27% (3/11),57% (12/21),"['3', '2', '6', '3']","['1', '1']",[],[],[],1.39
03.10.2023,Lavagno E.,1,3,7^7,0,,,0,2,66%,70% (38/54),43% (12/28),77% (10/13),34% (16/47),39% (11/28),17% (1/6),6,61% (50/82),36% (27/75),49% (77/157),2,73% (8/11),10% (1/10),43% (9/21),[],"['1', '0']",[],[],[],2.87
CHALLENGER MEN - SINGLES :  Braga (Portugal),clay,header
26.09.2023,Lavagno E.,0,3,4,,,,0,5,68%,48% (20/42),50% (10/20),55% (6/11),38% (13/34),50% (14/28),38% (3/8),6,48% (30/62),44% (27/62),46% (57/124),2,44% (4/9),30% (3/10),37% (7/19),"['1', '2', '3', '4']","['2', '4']",[],[],[],2.57
26.09.2023,Gigante M.,2,6,6,,,,4,4,55%,62% (21/34),50% (14/28),63% (5/8),52% (22/42),50% (10/20),45% (5/11),6,56% (35/62),52% (32/62),54% (67/124),4,70% (7/10),56% (5/9),63% (12/19),"['2', '0', '4', '2', '5', '3']","['2', '1', '4', '1']",[],[],[],1.47
CHALLENGER MEN - SINGLES :  Sibiu (Romania),clay,header
21.09.2023,Lavagno E.,0,5,2,,,,1,5,67%,46% (26/56),44% (12/27),57% (8/14),41% (15/37),48% (15/31),43% (3/7),6,46% (38/83),44% (30/68),45% (68/151),5,40% (4/10),30% (3/10),35% (7/20),"['2', '4', '4', '4']","['2', '2']",[],[],[],3.49
21.09.2023,Cobolli F.,2,7,6,,,,4,3,54%,59% (22/37),52% (16/31),57% (4/7),54% (30/56),56% (15/27),43% (6/14),8,56% (38/68),54% (45/83),55% (83/151),4,70% (7/10),60% (6/10),65% (13/20),"['1', '0', '3', '0', '6', '5']","['2', '1', '3', '2', '5', '2']",[],[],[],1.28
20.09.2023,Lavagno E.,2,7^7,6,,,,1,6,60%,58% (32/55),38% (14/37),50% (6/12),50% (22/44),64% (18/28),64% (7/11),8,50% (46/92),56% (40/72),52% (86/164),5,45% (5/11),64% (7/11),55% (12/22),"['3', '2', '4', '3', '6', '5']","['1', '1', '3', '1', '5', '1', '6', '4']",[],[],[],1.93
20.09.2023,Jianu F. C.,0,6^4,4,,,,0,2,61%,50% (22/44),36% (10/28),36% (4/11),42% (23/55),62% (23/37),50% (6/12),4,44% (32/72),50% (46/92),48% (78/164),3,36% (4/11),55% (6/11),45% (10/22),"['3', '3', '4', '4', '6', '6']","['1', '0', '2', '5', '4', '5']",[],[],[],1.80
CHALLENGER MEN - SINGLES :  Como (Italy),clay,header
30.08.2023,Lavagno E.,0,0,1,,,,0,5,72%,42% (16/38),40% (6/15),54% (7/13),28% (9/32),50% (6/12),0% (0/4),4,42% (22/53),34% (15/44),38% (37/97),1,14% (1/7),0% (0/6),8% (1/13),[],[],[],[],[],2.94
30.08.2023,Martinez P.,2,6,6,,,,1,2,73%,72% (23/32),50% (6/12),100% (4/4),58% (22/38),60% (9/15),46% (6/13),6,66% (29/44),58% (31/53),62% (60/97),10,100% (6/6),86% (6/7),92% (12/13),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.37
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
24.08.2023,Lavagno E.,1,5,6,5,,,2,3,70%,60% (49/82),57% (20/35),73% (11/15),16% (7/44),48% (20/42),75% (3/4),8,59% (69/117),31% (27/86),47% (96/203),5,76% (13/17),19% (3/16),48% (16/33),[],"['3', '3', '5', '3']","['4', '3']",[],[],2.53
24.08.2023,Dougaz A.,2,7,3,7,,,12,3,51%,84% (37/44),52% (22/42),25% (1/4),40% (33/82),43% (15/35),27% (4/15),8,69% (59/86),41% (48/117),53% (107/203),5,81% (13/16),24% (4/17),52% (17/33),"['6', '5']","['1', '0']","['4', '4', '7', '5']",[],[],1.50
CHALLENGER MEN - SINGLES :  Cordenons (Italy),clay,header
10.08.2023,Lavagno E.,1,6,2,1,,,1,3,66%,40% (17/42),59% (13/22),36% (4/11),32% (15/47),50% (18/36),30% (3/10),7,47% (30/64),40% (33/83),43% (63/147),3,46% (6/13),25% (3/12),36% (9/25),"['2', '0', '6', '4']","['2', '4']",[],[],[],1.48
10.08.2023,Gomez F. A.,2,4,6,6,,,8,2,57%,68% (32/47),50% (18/36),70% (7/10),60% (25/42),41% (9/22),64% (7/11),8,60% (50/83),53% (34/64),57% (84/147),6,75% (9/12),54% (7/13),64% (16/25),"['3', '4']","['1', '0', '4', '1', '5', '2']","['1', '0', '3', '0', '6', '1']",[],[],2.54
08.08.2023,Lavagno E.,1,6,4,,,,0,2,71%,79% (19/24),30% (3/10),50% (1/2),44% (7/16),88% (15/17),63% (5/8),5,65% (22/34),67% (22/33),66% (44/67),8,83% (5/6),100% (5/5),91% (10/11),"['2', '0', '4', '0', '6', '0']","['2', '0', '3', '1']",[],[],[],1.26
08.08.2023,Arnaboldi F.,0,0,1,,,,1,9,48%,56% (9/16),12% (2/17),38% (3/8),21% (5/24),70% (7/10),50% (1/2),3,33% (11/33),35% (12/34),34% (23/67),1,0% (0/5),17% (1/6),9% (1/11),[],"['1', '2']",[],[],[],3.63
CHALLENGER MEN - SINGLES :  San Marino (San Marino),clay,header
04.08.2023,Lavagno E.,0,3,5,,,,1,1,62%,46% (17/37),48% (11/23),25% (2/8),40% (16/40),50% (15/30),57% (4/7),6,47% (28/60),44% (31/70),45% (59/130),4,40% (4/10),36% (4/11),38% (8/21),"['1', '2']","['1', '1', '3', '1', '5', '5']",[],[],[],2.96
04.08.2023,Fognini F.,2,6,7,,,,2,3,57%,60% (24/40),50% (15/30),43% (3/7),54% (20/37),52% (12/23),75% (6/8),7,56% (39/70),53% (32/60),55% (71/130),4,64% (7/11),60% (6/10),62% (13/21),"['2', '0', '4', '2']","['1', '0', '3', '4', '5', '4', '6', '5']",[],[],[],1.37
31.07.2023,Lavagno E.,2,6,6,,,,1,3,66%,70% (31/44),52% (12/23),75% (3/4),35% (11/31),50% (15/30),100% (3/3),6,64% (43/67),43% (26/61),54% (69/128),3,90% (9/10),33% (3/9),63% (12/19),"['4', '2']","['2', '1', '5', '4']",[],[],[],1.01
31.07.2023,De Rossi M.,0,3,4,,,,4,6,51%,65% (20/31),50% (15/30),0% (0/3),30% (13/44),48% (11/23),25% (1/4),4,57% (35/61),36% (24/67),46% (59/128),2,67% (6/9),10% (1/10),37% (7/19),[],"['4', '4']",[],[],[],24.00
CHALLENGER MEN - SINGLES :  Verona (Italy),clay,header
27.07.2023,Lavagno E.,0,4,3,,,,1,3,71%,53% (25/47),53% (10/19),50% (4/8),15% (4/26),48% (12/25),100% (1/1),4,53% (35/66),31% (16/51),44% (51/117),1,60% (6/10),11% (1/9),37% (7/19),[],"['3', '3']",[],[],[],2.49
27.07.2023,Darderi L.,2,6,6,,,,2,2,51%,85% (22/26),52% (13/25),0% (0/1),47% (22/47),47% (9/19),50% (4/8),8,69% (35/51),47% (31/66),56% (66/117),3,89% (8/9),40% (4/10),63% (12/19),"['1', '0']","['3', '2', '4', '3', '6', '3']",[],[],[],1.50
24.07.2023,Lavagno E.,2,6,6,,,,1,1,71%,71% (25/35),57% (8/14),67% (2/3),43% (13/30),67% (18/27),71% (5/7),7,67% (33/49),54% (31/57),60% (64/106),5,88% (7/8),63% (5/8),75% (12/16),"['2', '0', '5', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],2.08
24.07.2023,Ugo Carabelli C.,0,3,1,,,,1,3,53%,57% (17/30),33% (9/27),29% (2/7),29% (10/35),43% (6/14),33% (1/3),3,46% (26/57),33% (16/49),40% (42/106),2,38% (3/8),13% (1/8),25% (4/16),"['1', '2']",[],[],[],[],1.70
CHALLENGER MEN - SINGLES :  Tampere (Finland),clay,header
18.07.2023,Lavagno E.,0,4,3,,,,0,3,69%,59% (27/46),38% (8/21),64% (7/11),25% (10/40),47% (8/17),17% (1/6),4,52% (35/67),32% (18/57),43% (53/124),2,60% (6/10),11% (1/9),37% (7/19),[],"['3', '5']",[],[],[],1.86
18.07.2023,Sanchez Izquierdo N.,2,6,6,,,,1,4,70%,75% (30/40),53% (9/17),83% (5/6),41% (19/46),62% (13/21),36% (4/11),7,68% (39/57),48% (32/67),57% (71/124),5,89% (8/9),40% (4/10),63% (12/19),"['1', '0']","['1', '0', '3', '0', '6', '3']",[],[],[],1.87
CHALLENGER MEN - SINGLES :  Iasi (Romania),clay,header
10.07.2023,Lavagno E.,0,4,3,,,,1,3,62%,62% (21/34),48% (10/21),0% (0/4),38% (16/42),35% (9/26),33% (1/3),5,55% (29/53),37% (25/68),45% (54/121),2,60% (6/10),11% (1/9),37% (7/19),[],"['2', '2']",[],[],[],1.73
10.07.2023,Bonadio R.,2,6,6,,,,1,4,62%,62% (26/42),65% (17/26),67% (2/3),38% (13/34),52% (11/21),100% (4/4),9,63% (43/68),45% (24/53),55% (67/121),3,89% (8/9),40% (4/10),63% (12/19),"['2', '1']","['1', '0', '3', '2', '6', '3']",[],[],[],2.02
CHALLENGER MEN - SINGLES :  Milan (Italy),clay,header
03.07.2023,Lavagno E.,1,6,3,4,,,4,10,59%,65% (34/52),44% (16/36),60% (6/10),39% (22/57),52% (16/31),67% (4/6),6,57% (50/88),43% (38/88),50% (88/176),6,69% (9/13),31% (4/13),50% (13/26),"['3', '1', '5', '1']","['1', '0']","['2', '2']",[],[],2.06
03.07.2023,Onclin G.,2,1,6,6,,,2,4,65%,61% (35/57),48% (15/31),33% (2/6),35% (18/52),56% (20/36),40% (4/10),6,57% (50/88),43% (38/88),50% (88/176),4,69% (9/13),31% (4/13),50% (13/26),[],"['1', '1', '3', '1']","['2', '1', '5', '4']",[],[],1.70
CHALLENGER MEN - SINGLES :  Parma (Italy),clay,header
20.06.2023,Lavagno E.,0,2,0,,,,0,1,70%,38% (6/16),43% (3/7),25% (1/4),33% (3/9),47% (7/15),50% (1/2),4,39% (9/23),43% (10/23),41% (19/46),2,25% (1/4),25% (1/4),25% (2/8),"['2', '0']",[],[],[],[],1.90
