Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.08.,Perot R.,2,,,,,,[],"['2', '2', '4', '4']","['2', '1', '4', '1']",[],[],1.91
12.07.,Sanchez Jover C.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '3', '0']",[],[],[],1.37
12.07.,Siniakov D.,0,,,,,,"['3', '5']","['1', '3']",[],[],[],2.89
11.07.,Siniakov D.,2,,,,,,"['1', '1', '3', '1', '6', '2']","['5', '3']",[],[],[],4.04
11.07.,Hardt N.,0,,,,,,"['1', '0']",[],[],[],[],1.21
10.07.,Siniakov D.,2,,,,,,"['4', '4']","['4', '3']","['2', '3', '6', '5']",[],[],2.62
10.07.,Alves M.,1,,,,,,"['1', '0']","['4', '4', '7', '5']","['2', '0']",[],[],1.44
09.07.,Siniakov D.,2,,,,,,"['2', '0', '5', '3']","['3', '2']","['3', '4', '5', '4']",[],[],2.77
09.07.,Krumich M.,1,,,,,,"['3', '4']","['3', '3', '6', '4']","['3', '1']",[],[],1.40
26.06.,Agwi M.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '4', '3']",[],[],[],1.32
26.06.,Siniakov D.,0,,,,,,[],"['1', '1']",[],[],[],3.14
25.06.,Siniakov D.,2,,,,,,"['2', '2', '5', '5']","['4', '2', '6', '2']","['2', '0', '3', '1']",[],[],1.30
25.06.,Hartenstein J. P.,1,,,,,,"['1', '0', '3', '2', '6', '5']",[],"['1', '2']",[],[],3.26
10.06.,Siniakov D.,2,,,,,,"['2', '0', '3', '1', '5', '1']","['1', '0', '4', '1']",[],[],[],1.36
10.06.,Cizek J.,0,,,,,,"['1', '2', '2', '5']","['2', '4']",[],[],[],2.94
27.05.,Barrena A.,2,,,,,,"['1', '0', '4', '1', '5', '2']","['3', '2', '5', '2']",[],[],[],1.16
27.05.,Siniakov D.,0,,,,,,"['2', '4']",[],[],[],[],4.62
28.04.,Sels J.,2,,,,,,2,3,44%,76% (26/34),45% (20/44),75% (9/12),54% (21/39),61% (14/23),43% (6/14),59% (46/78),56% (35/62),58% (81/140),8,0,67% (6/9),67% (6/9),67% (12/18),"['2', '3', '3', '4', '5', '4']","['1', '2', '3', '2', '5', '2']",[],[],[],1.22
28.04.,Siniakov D.,0,,,,,,0,6,63%,46% (18/39),39% (9/23),57% (8/14),24% (8/34),55% (24/44),25% (3/12),44% (27/62),41% (32/78),42% (59/140),2,0,33% (3/9),33% (3/9),33% (6/18),"['2', '0', '4', '2']","['2', '0']",[],[],[],4.02
27.04.,Siniakov D.,2,,,,,,3,9,71%,61% (44/72),50% (15/30),79% (11/14),38% (14/37),54% (21/39),50% (3/6),58% (59/102),46% (35/76),53% (94/178),8,0,75% (9/12),25% (3/12),50% (12/24),"['2', '0']","['2', '1', '6', '5']",[],[],[],5.55
27.04.,Dalla Valle E.,0,,,,,,3,2,49%,62% (23/37),46% (18/39),50% (3/6),39% (28/72),50% (15/30),21% (3/14),54% (41/76),42% (43/102),47% (84/178),2,2,75% (9/12),25% (3/12),50% (12/24),"['3', '4']","['5', '5', '6', '6']",[],[],[],1.12
30.10.2024,Gonzalez Fernandez M.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['1', '0']","['3', '3', '5', '3']",[],[],1.40
30.10.2024,Siniakov D.,1,,,,,,"['1', '3']","['3', '3', '5', '3']","['3', '2']",[],[],2.77
24.10.2024,Bertola R.,2,,,,,,"['2', '1', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.20
24.10.2024,Siniakov D.,0,,,,,,[],[],[],[],[],4.14
23.10.2024,Siniakov D.,2,,,,,,"['4', '2']","['1', '0', '4', '1']",[],[],[],2.22
23.10.2024,Beloborodko I.,0,,,,,,[],"['3', '5']",[],[],[],1.60
02.10.2024,Agwi M.,2,,,,,,"['1', '0', '4', '1', '5', '2']","['1', '0', '3', '0']",[],[],[],1.14
02.10.2024,Siniakov D.,0,,,,,,"['2', '4']",[],[],[],[],5.05
19.09.2024,Mrva M.,2,,,,,,"['2', '1', '4', '1', '6', '3']","['2', '0', '4', '0', '5', '3']",[],[],[],1.50
19.09.2024,Siniakov D.,0,,,,,,"['2', '4']","['1', '4', '3', '4']",[],[],[],2.47
18.09.2024,Siniakov D.,2,,,,,,"['4', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],-
18.09.2024,Recek D.,0,,,,,,[],[],[],[],[],-
12.07.2024,Onclin G.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '2']","['4', '4', '6', '4']",[],[],1.06
12.07.2024,Siniakov D.,1,,,,,,"['1', '5', '3', '5']","['2', '0', '4', '2']","['3', '2']",[],[],8.00
11.07.2024,Siniakov D.,2,,,,,,"['5', '3', '7', '5']",[],"['3', '1', '6', '4']",[],[],3.31
11.07.2024,Handel T.,1,,,,,,"['4', '5']","['1', '0']","['4', '5']",[],[],1.30
10.07.2024,Siniakov D.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '5', '2']",[],[],[],1.30
10.07.2024,Gil Garcia A.,0,,,,,,[],"['1', '2', '3', '5']",[],[],[],3.34
02.06.2024,Bobrov B.,2,,,,,,3,0,50%,86% (18/21),76% (16/21),0% (0/1),47% (21/45),56% (10/18),33% (4/12),81% (34/42),49% (31/63),62% (65/105),6,0,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '3', '0']","['2', '1', '5', '2']",[],[],[],1.33
02.06.2024,Siniakov D.,0,,,,,,0,4,71%,53% (24/45),44% (8/18),67% (8/12),14% (3/21),24% (5/21),100% (1/1),51% (32/63),19% (8/42),38% (40/105),4,0,56% (5/9),11% (1/9),33% (6/18),[],"['3', '5']",[],[],[],3.19
20.08.2023,Faria J.,2,,,,,,8,4,61%,74% (32/43),44% (12/27),67% (2/3),41% (11/27),57% (12/21),67% (4/6),63% (44/70),48% (23/48),57% (67/118),89% (8/9),50% (4/8),71% (12/17),"['3', '1', '5', '1']","['1', '0', '3', '0']",[],[],[],1.31
20.08.2023,Siniakov D.,0,,,,,,0,6,56%,59% (16/27),43% (9/21),33% (2/6),26% (11/43),56% (15/27),33% (1/3),52% (25/48),37% (26/70),43% (51/118),50% (4/8),11% (1/9),29% (5/17),[],"['2', '4']",[],[],[],3.29
30.07.2023,Marti Pujolras A.,2,,,,,,2,4,60%,61% (25/41),52% (14/27),60% (6/10),41% (21/51),63% (22/35),43% (6/14),57% (39/68),50% (43/86),53% (82/154),64% (7/11),50% (6/12),57% (13/23),[],"['2', '0', '5', '3']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],1.18
30.07.2023,Siniakov D.,1,,,,,,2,7,59%,59% (30/51),37% (13/35),57% (8/14),39% (16/41),48% (13/27),40% (4/10),50% (43/86),43% (29/68),47% (72/154),50% (6/12),36% (4/11),43% (10/23),"['2', '0', '5', '1']","['2', '3']","['1', '3']",[],[],4.50
12.07.2023,Yunis F.,2,,,,,,"['1', '0', '5', '4']","['1', '0', '3', '0', '6', '1']",[],[],[],2.78
12.07.2023,Siniakov D.,0,,,,,,"['4', '4']",[],[],[],[],1.40
