Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
10.07.,Grzegorzewski O.,2,,,,,,"['2', '0', '4', '0', '6', '2']",[],"['1', '0', '6', '5']",[],[],2.59
16.01.,Hernandez A.,2,,,,,,"['3', '3', '5', '3']","['1', '0', '3', '2', '5', '4']",[],[],[],1.56
16.01.,Misasi G.,0,,,,,,"['3', '2']","['1', '1', '3', '3']",[],[],[],2.30
09.01.,Andreescu S. A.,2,,,,,,"['1', '3', '3', '3', '5', '3']","['1', '2', '4', '3']",[],[],[],1.41
09.01.,Misasi G.,0,,,,,,"['1', '0', '3', '0']","['2', '0']",[],[],[],2.73
07.01.,Misasi G.,2,,,,,,"['1', '2', '3', '2']","['4', '3', '6', '3']",[],[],[],2.35
07.01.,Mashtakov N.,0,,,,,,"['2', '0']",[],[],[],[],1.54
29.12.2024,Lobanov A.,2,,,,,,"['1', '0', '2', '1', '5', '4']","['1', '0', '2', '1', '4', '1']",[],[],[],1.76
29.12.2024,Misasi G.,0,,,,,,"['1', '1', '3', '3']","['1', '1']",[],[],[],1.95
27.12.2024,Misasi G.,2,,,,,,"['3', '4', '5', '4']","['1', '0', '3', '0', '4', '1']",[],[],[],3.91
27.12.2024,Djuric B.,0,,,,,,"['4', '2']","['1', '3', '2', '4', '4', '4']",[],[],[],1.22
27.12.2024,Misasi G.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0']",[],[],[],1.26
27.12.2024,Lu P.,0,,,,,,[],"['2', '2']",[],[],[],3.54
06.12.2024,Andreescu S. A.,2,,,,,,"['2', '0', '3', '1', '5', '5', '6', '6']",[],"['2', '2', '4', '2', '5', '3']",[],[],1.26
06.12.2024,Misasi G.,1,,,,,,"['1', '2', '3', '4', '5', '4', '6', '5']",[],"['2', '1', '3', '4']",[],[],3.54
05.12.2024,Misasi G.,2,,,,,,"['2', '2', '3', '3', '5', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],1.28
05.12.2024,Jovic N.,0,,,,,,"['1', '0', '3', '2']",[],[],[],[],3.40
14.11.2024,Potenza L.,2,,,,,,[],"['5', '3', '7', '5']","['3', '3', '5', '5']",[],[],1.24
14.11.2024,Misasi G.,1,,,,,,"['2', '1', '4', '1']","['4', '5']","['1', '0', '5', '4']",[],[],3.72
23.10.2024,Kukasian A.,2,,,,,,"['1', '0', '3', '0']","['4', '5']",[],[],[],1.67
23.10.2024,Misasi G.,0,,,,,,[],"['5', '3']",[],[],[],2.10
16.10.2024,Van Der Meerschen M.,2,,,,,,"['2', '0', '4', '0']","['1', '0']",[],[],[],1.62
16.10.2024,Misasi G.,0,,,,,,[],"['4', '4']",[],[],[],2.18
25.09.2024,Kivattsev K.,2,,,,,,"['6', '4']","['2', '0', '5', '1']",[],[],[],1.11
25.09.2024,Misasi G.,0,,,,,,[],[],[],[],[],5.64
29.08.2024,Popovic S.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '4', '1']",[],[],[],1.18
29.08.2024,Misasi G.,0,,,,,,[],[],[],[],[],4.42
