Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
28.05.,Velcz Z.,2,,,,,,[],"['4', '2', '6', '2']","['2', '0', '5', '3']",[],[],2.62
23.10.2024,Madarasz G.,2,,,,,,"['3', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.06
23.10.2024,Valle F.,0,,,,,,[],[],[],[],[],7.42
20.10.2024,Paz J. P.,2,,,,,,"['2', '0']","['3', '2']",[],[],[],1.45
20.10.2024,Madarasz G.,0,,,,,,[],[],[],[],[],2.48
18.10.2024,Madarasz G.,2,,,,,,[],"['3', '1']","['1', '0', '4', '1']",[],[],1.85
18.10.2024,Kukasian A.,1,,,,,,"['5', '4']",[],[],[],[],1.85
17.10.2024,Madarasz G.,2,,,,,,"['7', '5']","['2', '0', '5', '1']",[],[],[],1.08
17.10.2024,Valle F.,0,,,,,,[],[],[],[],[],6.71
16.10.2024,Madarasz G.,2,,,,,,"['2', '2', '3', '3', '5', '3']","['6', '5']",[],[],[],1.26
16.10.2024,Iutkin I.,0,,,,,,"['1', '0', '3', '2']",[],[],[],[],3.54
19.09.2024,Karol M.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '4', '2']",[],[],[],1.42
19.09.2024,Madarasz G.,0,,,,,,[],"['1', '2']",[],[],[],2.72
05.09.2024,Djosic N.,2,,,,,,"['4', '2']","['2', '1', '6', '3']",[],[],[],2.34
05.09.2024,Madarasz G.,0,,,,,,[],[],[],[],[],1.55
03.09.2024,Madarasz G.,2,,,,,,"['1', '1', '2', '2', '4', '2', '6', '2']","['3', '1', '6', '2']",[],[],[],1.02
03.09.2024,Bazdar D.,0,,,,,,"['1', '0', '2', '1']",[],[],[],[],10.80
