Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
12.03.,Imamura M.,2,,,,,,"['1', '0']","['1', '0', '3', '0', '5', '0']","['1', '2', '2', '3', '5', '4']",[],[],1.01
12.03.,Sun Z.,1,,,,,,"['1', '1', '4', '2', '6', '2']",[],"['2', '0', '3', '1']",[],[],11.00
19.02.,Vacherot V.,2,,,,,,5,2,73%,67% (24/36),85% (11/13),50% (1/2),27% (7/26),72% (18/25),67% (4/6),71% (35/49),49% (25/51),60% (60/100),5,0,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '4', '2', '6', '2']","['4', '2']",[],[],[],1.20
19.02.,Imamura M.,0,,,,,,3,0,51%,73% (19/26),28% (7/25),33% (2/6),33% (12/36),15% (2/13),50% (1/2),51% (26/51),29% (14/49),40% (40/100),5,1,50% (4/8),11% (1/9),29% (5/17),"['2', '3']",[],[],[],[],4.30
18.02.,Imamura M.,2,,,,,,4,2,64%,72% (28/39),55% (12/22),50% (2/4),43% (16/37),50% (12/24),57% (4/7),66% (40/61),46% (28/61),56% (68/122),8,0,80% (8/10),40% (4/10),60% (12/20),"['3', '1', '4', '4']","['3', '2', '5', '2']",[],[],[],2.38
18.02.,Clarke J.,0,,,,,,5,3,61%,57% (21/37),50% (12/24),43% (3/7),28% (11/39),45% (10/22),50% (2/4),54% (33/61),34% (21/61),44% (54/122),2,0,60% (6/10),20% (2/10),40% (8/20),"['2', '3', '4', '3']",[],[],[],[],1.54
17.02.,Imamura M.,2,,,,,,4,0,73%,69% (25/36),69% (9/13),100% (2/2),43% (15/35),43% (10/23),50% (4/8),69% (34/49),43% (25/58),55% (59/107),7,0,100% (8/8),44% (4/9),71% (12/17),"['1', '0', '4', '1', '6', '1']","['6', '4']",[],[],[],2.03
17.02.,Ellis B.,0,,,,,,8,4,60%,57% (20/35),57% (13/23),50% (4/8),31% (11/36),31% (4/13),0% (0/2),57% (33/58),31% (15/49),45% (48/107),3,1,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],1.72
16.02.,Imamura M.,2,,,,,,5,2,67%,73% (51/70),50% (17/34),71% (5/7),23% (15/65),49% (20/41),25% (2/8),65% (68/104),33% (35/106),49% (103/210),5,0,87% (13/15),13% (2/16),48% (15/31),[],"['5', '3']","['2', '1']",[],[],1.78
16.02.,Samrej K.,1,,,,,,9,5,61%,77% (50/65),51% (21/41),75% (6/8),27% (19/70),50% (17/34),29% (2/7),67% (71/106),35% (36/104),51% (107/210),5,3,88% (14/16),13% (2/15),52% (16/31),"['5', '3']","['4', '5']",[],[],[],1.95
11.02.,Clarke J.,2,,,,,,7,4,50%,95% (21/22),55% (12/22),50% (1/2),35% (13/37),62% (16/26),57% (4/7),75% (33/44),46% (29/63),58% (62/107),8,0,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '4', '0']","['2', '1', '5', '4']",[],[],[],1.59
11.02.,Imamura M.,0,,,,,,2,2,59%,65% (24/37),38% (10/26),43% (3/7),5% (1/22),45% (10/22),50% (1/2),54% (34/63),25% (11/44),42% (45/107),2,0,50% (4/8),11% (1/9),29% (5/17),[],"['4', '4']",[],[],[],2.27
10.02.,Imamura M.,2,,,,,,1,4,67%,71% (36/51),48% (12/25),71% (5/7),38% (15/40),55% (18/33),56% (5/9),63% (48/76),45% (33/73),54% (81/149),8,0,82% (9/11),42% (5/12),61% (14/23),"['1', '0', '3', '0']",[],"['2', '1', '4', '1', '6', '1']",[],[],1.36
10.02.,Shah A.,1,,,,,,3,3,55%,63% (25/40),45% (15/33),44% (4/9),29% (15/51),52% (13/25),29% (2/7),55% (40/73),37% (28/76),46% (68/149),2,1,58% (7/12),18% (2/11),39% (9/23),[],"['3', '1', '6', '2']",[],[],[],2.99
09.02.,Imamura M.,2,,,,,,6,1,55%,68% (21/31),60% (15/25),67% (2/3),45% (13/29),50% (16/32),67% (4/6),64% (36/56),48% (29/61),56% (65/117),5,0,89% (8/9),44% (4/9),67% (12/18),"['2', '1']","['1', '0', '2', '1', '4', '1']",[],[],[],1.07
09.02.,Govila A.,0,,,,,,1,3,48%,55% (16/29),50% (16/32),33% (2/6),32% (10/31),40% (10/25),33% (1/3),52% (32/61),36% (20/56),44% (52/117),5,1,56% (5/9),11% (1/9),33% (6/18),[],"['1', '1']",[],[],[],7.30
06.02.,Ilagan A.,2,,,,,,7,2,67%,64% (41/64),52% (16/31),70% (7/10),36% (18/50),50% (20/40),67% (4/6),60% (57/95),42% (38/90),51% (95/185),6,0,77% (10/13),31% (4/13),54% (14/26),[],"['6', '5']","['2', '0', '4', '0', '6', '0']",[],[],1.67
06.02.,Imamura M.,1,,,,,,5,1,56%,64% (32/50),50% (20/40),33% (2/6),36% (23/64),48% (15/31),30% (3/10),58% (52/90),40% (38/95),49% (90/185),4,1,69% (9/13),23% (3/13),46% (12/26),"['4', '2', '6', '2']","['6', '6']",[],[],[],2.12
04.02.,Imamura M.,2,,,,,,8,1,54%,74% (28/38),58% (19/33),0% (0/1),27% (13/49),61% (14/23),44% (4/9),66% (47/71),38% (27/72),52% (74/143),8,0,92% (11/12),31% (4/13),60% (15/25),"['3', '2', '5', '2']",[],"['2', '0', '6', '2']",[],[],2.66
04.02.,Tomic B.,1,,,,,,3,0,68%,73% (36/49),39% (9/23),56% (5/9),26% (10/38),42% (14/33),100% (1/1),63% (45/72),34% (24/71),48% (69/143),2,1,69% (9/13),8% (1/12),40% (10/25),[],"['2', '0']",[],[],[],1.44
28.01.,Shimizu Y.,2,,,,,,3,4,67%,67% (32/48),58% (14/24),80% (4/5),41% (19/46),46% (12/26),38% (3/8),64% (46/72),43% (31/72),53% (77/144),5,0,90% (9/10),30% (3/10),60% (12/20),"['1', '0', '3', '0']","['3', '2']",[],[],[],1.33
28.01.,Imamura M.,0,,,,,,2,2,64%,59% (27/46),54% (14/26),63% (5/8),33% (16/48),42% (10/24),20% (1/5),57% (41/72),36% (26/72),47% (67/144),5,1,70% (7/10),10% (1/10),40% (8/20),"['2', '4']",[],[],[],[],3.15
12.01.,Maestrelli F.,2,,,,,,13,5,58%,94% (48/51),43% (16/37),33% (1/3),39% (28/71),38% (14/37),21% (3/14),73% (64/88),39% (42/108),54% (106/196),8,0,87% (13/15),20% (3/15),53% (16/30),"['4', '2', '6', '2']",[],"['1', '1']",[],[],1.53
12.01.,Imamura M.,1,,,,,,2,2,66%,61% (43/71),62% (23/37),79% (11/14),6% (3/51),57% (21/37),67% (2/3),61% (66/108),27% (24/88),46% (90/196),2,0,80% (12/15),13% (2/15),47% (14/30),[],"['1', '0']","['1', '0']",[],[],2.40
07.01.,Takahashi Y.,1,,,,,,4,3,61%,67% (37/55),51% (18/35),80% (12/15),39% (22/57),37% (10/27),50% (2/4),61% (55/90),38% (32/84),50% (87/174),10,3,75% (9/12),17% (2/12),46% (11/24),[],"['3', '4']","['3', '1']",[],[],1.85
07.01.,Imamura M.,1,,,,,,0,3,68%,61% (35/57),63% (17/27),50% (2/4),33% (18/55),49% (17/35),20% (3/15),62% (52/84),39% (35/90),50% (87/174),0,0,83% (10/12),25% (3/12),54% (13/24),"['2', '0', '6', '2']","['3', '1']",[],[],[],1.87
29.12.2024,Leong M. W. K.,2,,,,,,6,1,69%,68% (28/41),39% (7/18),25% (1/4),32% (10/31),74% (23/31),36% (5/14),59% (35/59),53% (33/62),56% (68/121),8,0,70% (7/10),56% (5/9),63% (12/19),"['1', '1', '4', '2']","['2', '1', '4', '3', '5', '4']",[],[],[],3.35
29.12.2024,Imamura M.,0,,,,,,0,1,50%,68% (21/31),26% (8/31),64% (9/14),32% (13/41),61% (11/18),75% (3/4),47% (29/62),41% (24/59),44% (53/121),2,1,44% (4/9),30% (3/10),37% (7/19),"['1', '0']","['3', '3', '4', '4']",[],[],[],1.30
27.11.2024,Wong C.,2,,,,,,7,3,60%,71% (40/56),54% (20/37),40% (2/5),26% (15/58),50% (18/36),50% (3/6),65% (60/93),35% (33/94),50% (93/187),8,0,80% (12/15),20% (3/15),50% (15/30),[],"['5', '3', '7', '5']","['6', '4']",[],[],2.97
27.11.2024,Imamura M.,1,,,,,,2,0,62%,74% (43/58),50% (18/36),50% (3/6),29% (16/56),46% (17/37),60% (3/5),65% (61/94),35% (33/93),50% (94/187),2,0,80% (12/15),20% (3/15),50% (15/30),"['1', '0', '5', '2']","['4', '5']",[],[],[],1.32
22.11.2024,Shimizu Y.,2,,,,,,3,2,60%,53% (25/47),65% (20/31),67% (6/9),40% (20/50),52% (16/31),33% (4/12),58% (45/78),44% (36/81),51% (81/159),7,0,73% (8/11),36% (4/11),55% (12/22),"['1', '0', '3', '0']","['2', '3', '3', '4']",[],[],[],1.37
22.11.2024,Imamura M.,0,,,,,,0,2,62%,60% (30/50),48% (15/31),67% (8/12),47% (22/47),35% (11/31),33% (3/9),56% (45/81),42% (33/78),49% (78/159),3,0,64% (7/11),27% (3/11),45% (10/22),"['1', '3']","['3', '1', '4', '2']",[],[],[],2.99
18.11.2024,Imamura M.,2,,,,,,2,1,67%,76% (42/55),52% (14/27),50% (1/2),30% (17/56),59% (23/39),33% (3/9),68% (56/82),42% (40/95),54% (96/177),7,0,93% (13/14),21% (3/14),57% (16/28),"['4', '3', '6', '3']",[],"['5', '3']",[],[],1.63
18.11.2024,Sweeny D.,1,,,,,,2,5,59%,70% (39/56),41% (16/39),67% (6/9),24% (13/55),48% (13/27),50% (1/2),58% (55/95),32% (26/82),46% (81/177),3,1,79% (11/14),7% (1/14),43% (12/28),[],"['1', '0']",[],[],[],2.19
11.11.2024,Ymer E.,2,,,,,,6,2,54%,73% (19/26),59% (13/22),50% (2/4),59% (22/37),43% (13/30),33% (5/15),67% (32/48),52% (35/67),58% (67/115),8,0,78% (7/9),63% (5/8),71% (12/17),"['3', '3', '6', '4']","['2', '0', '3', '1', '5', '1']",[],[],[],1.41
11.11.2024,Imamura M.,0,,,,,,1,0,55%,41% (15/37),57% (17/30),67% (10/15),27% (7/26),41% (9/22),50% (2/4),48% (32/67),33% (16/48),42% (48/115),2,0,38% (3/8),22% (2/9),29% (5/17),"['3', '2']","['1', '2']",[],[],[],2.60
10.11.2024,Imamura M.,2,,,,,,2,1,71%,75% (36/48),60% (12/20),60% (3/5),33% (13/40),50% (19/38),36% (4/11),71% (48/68),41% (32/78),55% (80/146),7,0,85% (11/13),31% (4/13),58% (15/26),"['3', '1', '5', '1']",[],"['3', '3', '6', '4']",[],[],2.17
10.11.2024,Imai S.,1,,,,,,7,2,51%,68% (27/40),50% (19/38),64% (7/11),25% (12/48),40% (8/20),40% (2/5),59% (46/78),29% (20/68),45% (66/146),3,0,69% (9/13),15% (2/13),42% (11/26),[],"['3', '1']","['2', '1']",[],[],1.64
03.11.2024,Takahashi Y.,2,,,,,,1,2,76%,76% (28/37),50% (6/12),100% (4/4),41% (15/37),53% (10/19),57% (4/7),69% (34/49),45% (25/56),56% (59/105),8,0,100% (8/8),44% (4/9),71% (12/17),"['3', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],2.69
03.11.2024,Imamura M.,0,,,,,,1,1,66%,59% (22/37),47% (9/19),43% (3/7),24% (9/37),50% (6/12),0% (0/4),55% (31/56),31% (15/49),44% (46/105),2,1,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],1.43
31.10.2024,Hijikata R.,2,,,,,,6,2,53%,77% (27/35),65% (20/31),0% (0/1),23% (9/40),61% (14/23),67% (2/3),71% (47/66),37% (23/63),54% (70/129),7,0,91% (10/11),20% (2/10),57% (12/21),"['3', '1', '5', '3']",[],[],[],[],1.23
31.10.2024,Imamura M.,0,,,,,,8,0,63%,78% (31/40),39% (9/23),33% (1/3),23% (8/35),35% (11/31),100% (1/1),63% (40/63),29% (19/66),46% (59/129),3,1,80% (8/10),9% (1/11),43% (9/21),"['2', '3']",[],[],[],[],3.90
