Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES :  US Open (USA),hard,header
17.04.2024,Kwiatkowski T. S.,0,6^3,2,,,,6,2,55%,64% (27/42),44% (15/34),57% (4/7),25% (10/40),44% (12/27),33% (1/3),7,55% (42/76),33% (22/67),45% (64/143),2,70% (7/10),10% (1/10),40% (8/20),"['5', '5']",[],[],[],[],2.21
16.04.2024,Krueger M.,2,6,7^7,,,,2,3,59%,63% (25/40),57% (16/28),33% (1/3),42% (16/38),65% (17/26),71% (5/7),6,60% (40/67),52% (33/64),56% (73/131),4,78% (7/9),50% (5/10),63% (12/19),"['1', '0', '3', '0', '6', '1']","['3', '1', '4', '4']",[],[],[],1.66
16.04.2024,Quinn E.,0,1,6^2,,,,4,2,59%,58% (22/38),35% (9/26),29% (2/7),38% (15/40),43% (12/28),67% (2/3),5,48% (31/64),40% (27/67),44% (58/131),3,50% (5/10),22% (2/9),37% (7/19),[],"['2', '3', '4', '3']",[],[],[],2.16
CHALLENGER MEN - SINGLES :  Sarasota (USA),clay,header
12.04.2024,Krueger M.,1,4,6,3,,,1,3,68%,61% (33/54),40% (10/25),44% (4/9),32% (12/38),59% (22/37),80% (4/5),9,55% (44/80),45% (34/75),50% (78/155),4,62% (8/13),38% (5/13),50% (13/26),"['4', '4']","['2', '0', '3', '1', '5', '1']","['2', '1']",[],[],3.18
12.04.2024,Bergs Z.,2,6,1,6,,,5,9,51%,68% (26/38),41% (15/37),20% (1/5),39% (21/54),60% (15/25),56% (5/9),7,55% (41/75),45% (36/80),50% (77/155),4,62% (8/13),38% (5/13),50% (13/26),"['3', '2', '5', '4']","['1', '2']","['2', '2', '4', '2']",[],[],1.32
10.04.2024,Krueger M.,2,6,6,,,,1,2,64%,81% (22/27),60% (9/15),0% (0/1),29% (9/31),73% (27/37),42% (5/12),7,74% (31/42),53% (36/68),61% (67/110),11,88% (7/8),63% (5/8),75% (12/16),"['3', '4', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],2.28
10.04.2024,Damm M.,0,4,0,,,,8,7,46%,71% (22/31),27% (10/37),58% (7/12),19% (5/27),40% (6/15),100% (1/1),4,47% (32/68),26% (11/42),39% (43/110),3,38% (3/8),13% (1/8),25% (4/16),"['2', '0']",[],[],[],[],1.59
09.04.2024,Krueger M.,2,6,3,7^7,,,9,5,65%,68% (40/59),47% (15/32),64% (7/11),32% (16/50),61% (25/41),71% (5/7),6,60% (55/91),45% (41/91),53% (96/182),3,71% (10/14),33% (5/15),52% (15/29),"['1', '0', '3', '0', '4', '1']","['1', '0']","['3', '3']",[],[],3.72
09.04.2024,Kypson P.,1,2,6,6^1,,,12,5,55%,68% (34/50),39% (16/41),29% (2/7),32% (19/59),53% (17/32),36% (4/11),9,55% (50/91),40% (36/91),47% (86/182),4,67% (10/15),29% (4/14),48% (14/29),"['1', '3']","['1', '1', '3', '1']","['2', '1']",[],[],1.26
ATP - SINGLES :  Houston (USA) - Qualification,clay,header
31.03.2024,Krueger M.,0,3,6^7,,,,5,2,74%,61% (39/64),45% (10/22),79% (11/14),32% (18/57),47% (7/15),40% (2/5),5,56% (48/85),35% (25/72),46% (73/157),3,70% (7/10),18% (2/11),43% (9/21),[],"['3', '3', '6', '6']",[],[],[],2.25
31.03.2024,Brouwer G.,2,6,7^9,,,,7,2,79%,68% (39/57),53% (8/15),60% (3/5),39% (25/64),55% (12/22),21% (3/14),6,65% (47/72),44% (37/85),54% (84/157),3,82% (9/11),30% (3/10),57% (12/21),"['3', '1']","['2', '1', '6', '5']",[],[],[],1.65
30.03.2024,Krueger M.,2,7^7,7^8,,,,2,1,76%,73% (43/59),63% (12/19),50% (1/2),26% (11/43),39% (13/33),50% (1/2),11,71% (55/78),32% (24/76),51% (79/154),3,92% (11/12),8% (1/12),50% (12/24),"['3', '2']",[],[],[],[],2.14
30.03.2024,Diallo G.,0,6^4,6^6,,,,9,1,57%,74% (32/43),61% (20/33),50% (1/2),27% (16/59),37% (7/19),50% (1/2),8,68% (52/76),29% (23/78),49% (75/154),3,92% (11/12),8% (1/12),50% (12/24),"['5', '5']",[],[],[],[],1.67
CHALLENGER MEN - SINGLES :  San Luis Potosi (Mexico),clay,header
26.03.2024,Krueger M.,1,7^7,3,6^6,,,2,3,60%,82% (47/57),63% (24/38),0% (0/1),27% (19/71),38% (21/55),0% (0/7),6,75% (71/95),32% (40/126),50% (111/221),1,94% (15/16),0% (0/17),45% (15/33),[],[],[],[],[],2.66
26.03.2024,Huesler M.,2,6^3,6,7^8,,,14,7,56%,73% (52/71),62% (34/55),100% (7/7),18% (10/57),37% (14/38),100% (1/1),6,68% (86/126),25% (24/95),50% (110/221),3,100% (17/17),6% (1/16),55% (18/33),[],"['5', '3']",[],[],[],1.45
CHALLENGER MEN - SINGLES :  Phoenix (USA),hard,header
