Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
04.06.,Masjuan Ginel P.,0,,,,,,"['2', '2', '4', '2']",[],[],[],[],1.70
29.05.,Murali R.,2,,,,,,"['1', '0']","['1', '0', '3', '0', '5', '0']","['2', '1', '3', '4', '4', '5', '6', '5']",[],[],2.00
29.05.,Fenty A.,1,,,,,,"['4', '4', '6', '4']",[],"['2', '2', '4', '2', '5', '3']",[],[],1.72
27.05.,Fenty A.,1,,,,,,"['4', '4', '6', '4']","['2', '0', '4', '0']",[],[],[],1.81
27.05.,Brumm J.,0,,,,,,"['3', '2']",[],[],[],[],1.89
21.05.,Grant W.,2,,,,,,"['2', '1', '3', '2', '6', '3']","['2', '0', '4', '0']",[],[],[],1.69
21.05.,Fenty A.,0,,,,,,"['2', '2']",[],[],[],[],2.04
13.05.,Dlimi Y.,1,,,,,,"['1', '0', '4', '1', '6', '1']","['1', '1']",[],[],[],2.24
13.05.,Fenty A.,0,,,,,,[],"['1', '0']",[],[],[],1.59
01.05.,Willwerth B.,2,,,,,,"['1', '0', '6', '5']","['2', '1', '4', '1', '6', '5']",[],[],[],1.60
01.05.,Fenty A.,0,,,,,,"['1', '1']","['2', '4', '4', '4']",[],[],[],2.22
30.04.,Fenty A.,2,,,,,,"['2', '2', '5', '3', '7', '5']","['2', '0', '4', '0', '6', '0']",[],[],[],1.25
30.04.,Bobo D.,0,,,,,,"['2', '1', '4', '5']",[],[],[],[],3.62
25.04.,Grant W.,2,,,,,,"['1', '0', '4', '1']","['1', '4', '3', '4', '6', '5']",[],[],[],1.89
25.04.,Fenty A.,0,,,,,,"['3', '5']","['2', '0', '4', '0']",[],[],[],1.81
24.04.,Fenty A.,2,,,,,,"['2', '1', '4', '1']","['2', '1', '5', '2']",[],[],[],1.61
24.04.,Flores J.,0,,,,,,[],[],[],[],[],2.20
