Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.08.,Neuchrist M.,2,,,,,,"['2', '0']","['3', '2']","['2', '1', '6', '3']",[],[],22.0
11.05.,Slump S.,0,,,,,,3,3,57%,55% (16/29),27% (6/22),38% (3/8),34% (14/41),53% (9/17),33% (2/6),43% (22/51),40% (23/58),41% (45/109),3,1,38% (3/8),22% (2/9),29% (5/17),"['1', '0', '4', '3']",[],[],[],[],2.36
02.05.,Negritu Ch.,2,,,,,,"['3', '1']","['2', '1']",[],[],[],1.48
02.05.,Slump S.,0,,,,,,[],"['2', '2']",[],[],[],2.50
01.05.,Slump S.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '3', '3']","['4', '2', '6', '2']",[],[],1.61
01.05.,Castagnola L.,1,,,,,,[],"['1', '2', '3', '2', '5', '4']",[],[],[],2.20
30.04.,Slump S.,2,,,,,,"['2', '1']","['2', '1', '6', '3']",[],[],[],1.20
30.04.,Lootsma N.,0,,,,,,[],[],[],[],[],4.13
25.04.,Molcan A.,2,,,,,,"['4', '2']","['2', '3', '5', '4']",[],[],[],1.29
25.04.,Slump S.,0,,,,,,[],"['3', '1']",[],[],[],3.32
24.04.,Slump S.,1,,,,,,"['3', '2', '5', '4']","['1', '0']",[],[],[],1.03
24.04.,Lara Salmeron D.,0,,,,,,"['4', '4']",[],[],[],[],9.20
22.04.,Slump S.,2,,,,,,"['2', '1', '5', '2', '6', '5']",[],"['4', '2', '6', '2']",[],[],1.21
22.04.,Hjorth P.,1,,,,,,"['3', '5', '5', '5']","['3', '1']",[],[],[],4.04
04.04.,Michalski D.,2,,,,,,"['1', '2', '3', '4', '5', '4']","['2', '1', '4', '1']",[],[],[],1.36
04.04.,Slump S.,0,,,,,,"['2', '0', '3', '1']",[],[],[],[],2.94
03.04.,Slump S.,2,,,,,,"['2', '0', '6', '2']","['4', '2']",[],[],[],1.85
03.04.,Vankan M.,0,,,,,,[],[],[],[],[],1.85
02.04.,Slump S.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '4', '3']",[],[],[],1.07
02.04.,Peiro Serrano A.,0,,,,,,[],"['3', '3']",[],[],[],7.50
29.03.,Ghetu G.,2,,,,,,"['4', '3']",[],"['3', '2', '6', '5']",[],[],2.37
29.03.,Slump S.,1,,,,,,[],"['3', '1', '6', '2']","['4', '4']",[],[],1.53
28.03.,Slump S.,2,,,,,,"['2', '0']","['1', '0', '4', '1']",[],[],[],1.85
28.03.,Demanet E.,0,,,,,,[],[],[],[],[],1.85
27.03.,Slump S.,2,,,,,,"['4', '3', '6', '3']","['2', '0']",[],[],[],-
27.03.,Barreto Sanchez D. A.,0,,,,,,[],"['1', '2']",[],[],[],-
26.03.,Slump S.,2,,,,,,"['2', '3', '4', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],1.82
26.03.,Blanch D.,0,,,,,,"['3', '1']",[],[],[],[],1.88
16.03.,Alvarez Varona N.,2,,,,,,5,1,67%,80% (33/41),85% (17/20),0% (0/0),23% (9/39),44% (11/25),20% (1/5),82% (50/61),31% (20/64),56% (70/125),4,0,100% (11/11),10% (1/10),57% (12/21),[],"['2', '0']",[],[],[],1.20
16.03.,Slump S.,0,,,,,,6,2,61%,77% (30/39),56% (14/25),80% (4/5),20% (8/41),15% (3/20),0% (0/0),69% (44/64),18% (11/61),44% (55/125),6,0,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],4.27
07.03.,Andaloro F.,2,,,,,,"['2', '0', '4', '0']",[],"['1', '0', '4', '1']",[],[],1.69
07.03.,Slump S.,1,,,,,,[],"['2', '0', '6', '2']","['3', '5']",[],[],2.08
07.03.,Slump S.,2,,,,,,"['1', '0', '5', '4']","['4', '3']",[],[],[],1.96
07.03.,Demin Y.,0,,,,,,"['3', '3']",[],[],[],[],1.75
